"pol"	"place"	"time1"	"time2"	"PolPop_CC1"	"PolTerr_CC2"	"CapPol_CC3"	"HComplex_CC4_agg"	"Gov_CC5_agg"	"Infrastr_CC6_agg"	"InfoSys_CC7_agg"	"Texts_CC8_agg"	"Money_CC9_agg"
"Cambodian Basin 640 801"	"Cambodian Basin"	640	801	14965144.9772727	531000	60000	3.875	0.71402593446605	0.867568675686757	0.851595820661322	0.952722063037249	0.421810699588477
"Cambodian Basin 802 1079"	"Cambodian Basin"	802	1079	14965144.9772727	916847	3e+05	5	0.818181818181818	1	0.745670995670996	1	0.5
"Central Java -400 499"	"Central Java"	-400	499	14965144.9772727	1720265.20347003	170408.662280702	3.52139720613096	0.580672710991492	0.801492389489237	0.716457172193358	0.642525218529877	0.58918054618893
"Central Java 1049 1222"	"Central Java"	1049	1222	275000	60000	170408.662280702	3.875	0.749342008736591	0.824429584675325	0.783835839464266	0.730803155492628	0.671107574588477
"Central Java 1291 1518"	"Central Java"	1291	1518	5e+06	5e+05	150000	3.875	0.865852761014051	0.947478794358199	0.783835839464266	0.778041527585651	0.615833333333333
"Central Java 1568 1703"	"Central Java"	1568	1703	3250000	1e+05	170408.662280702	3.375	0.865852761014051	0.910589264960555	0.783835839464266	0.735186125834168	0.593838931282098
"Central Java 500 731"	"Central Java"	500	731	14965144.9772727	1720265.20347003	170408.662280702	2.88340643274854	0.600300810165046	0.853928649338746	0.776347360201594	0.642525218529877	0.671107574588477
"Central Java 732 1019"	"Central Java"	732	1019	3e+05	125000	1000	2.875	0.773827551846776	0.8964128837049	0.783835839464266	0.773547408366191	0.658607574588477
"Crete -1000 -711"	"Crete"	-1000	-711	14965144.9772727	1720265.20347003	6000	3.64639720613096	0.544440826933521	0.923432186980959	0.815221120849548	0.0892857142857143	0.666666666666667
"Crete -1200 -1001"	"Crete"	-1200	-1001	14965144.9772727	1720265.20347003	1000	3.39639720613096	0.379395362766293	0.7155471402221	0.364880379767983	0	0.466796875
"Crete -1300 -1201"	"Crete"	-1300	-1201	14965144.9772727	1720265.20347003	1000	4.00510731251393	0.477223263623225	0.756045301499847	0.859084299923995	0.125	0.466796875
"Crete -1450 -1301"	"Crete"	-1450	-1301	65000	5000	10000	4.125	0.477223263623225	0.756045301499847	0.851595820661322	0.125	0.5
"Crete -1700 -1451"	"Crete"	-1700	-1451	14965144.9772727	1720265.20347003	27500	4.13010731251393	0.448848607975842	0.832403733239731	0.851595820661322	0.255541461412151	0.588477366255144
"Crete -1900 -1701"	"Crete"	-1900	-1701	14965144.9772727	1720265.20347003	17100	3.50510731251393	0.429220508802288	0.693392383598674	0.851595820661322	0.255541461412151	0.5
"Crete -3000 -1901"	"Crete"	-3000	-1901	14965144.9772727	1720265.20347003	6850	2.38340643274854	0.356209963044245	0.491338844911472	0.28016724923275	0	0.5
"Crete -31 283"	"Crete"	-31	283	6e+07	4500000	1050000	7.125	0.636363636363636	1	0.827699018538713	1	0.833333333333333
"Crete -323 -69"	"Crete"	-323	-69	17500	225	24000	4.5	0.77494367010496	0.777777777777778	0.859084299923995	1	0.812630208333333
"Crete -500 -322"	"Crete"	-500	-322	17500	225	4000	4.5	0.77494367010496	0.757609094242758	0.859084299923995	0.875	0.833333333333333
"Crete -7000 -3001"	"Crete"	-7000	-3001	14965144.9772727	1720265.20347003	267.5	2.13340643274854	0	0.555101175003796	0.28016724923275	0	0.398805156573499
"Crete -710 -501"	"Crete"	-710	-501	14965144.9772727	167	4000	4.5	0.77494367010496	0.868720205353869	0.859084299923995	0.25	0.666666666666667
"Crete 1073 1203"	"Crete"	1073	1203	5500000	575000	250000	7.5	1	1	0.714285714285714	1	0.833333333333333
"Crete 284 394"	"Crete"	284	394	5.5e+07	4250000	8e+05	6.875	0.818181818181818	1	0.827699018538713	1	0.666666666666667
"Crete 395 607"	"Crete"	395	607	13750000	1600000	2e+05	7.5	0.909090909090909	1	0.888528138528139	1	0.833333333333333
"Crete 632 823"	"Crete"	632	823	6250000	1235000	215000	7.25	0.909090909090909	1	0.714285714285714	1	0.666666666666667
"Crete 824 960"	"Crete"	824	960	250000	8336	12000	3.75	0.786690011052747	0.888888888888889	0.851595820661322	1	0.833333333333333
"Crete 961 1072"	"Crete"	961	1072	10750000	520000	1e+05	7.375	0.909090909090909	1	0.714285714285714	1	0.77
"Cuzco 1 199"	"Cuzco"	1	199	14965144.9772727	1720265.20347003	170408.662280702	3.89639720613096	0.517693521506279	0.610631953914391	0.248781967847469	0	0.398805156573499
"Cuzco 1000 1249"	"Cuzco"	1000	1249	14965144.9772727	600	170408.662280702	4.14639720613096	0.452124033522998	0.688034310354726	0	0	0.398805156573499
"Cuzco 1250 1399"	"Cuzco"	1250	1399	14965144.9772727	2550	170408.662280702	3.5	0.680270621166993	0.831252203572619	0.28016724923275	0	0.398805156573499
"Cuzco 1400 1531"	"Cuzco"	1400	1531	1e+07	1250000	60000	5	0.636363636363636	0.888888888888889	0.285714285714286	0	0.333333333333333
"Cuzco 1532 1700"	"Cuzco"	1532	1700	2.9e+07	7100000	224000	9	0.909090909090909	1	0.827699018538713	1	0.77
"Cuzco 200 499"	"Cuzco"	200	499	14965144.9772727	700	170408.662280702	3.89639720613096	0.138298158739985	0.5196895263383	0.248781967847469	0	0.398805156573499
"Cuzco 500 649"	"Cuzco"	500	649	14965144.9772727	1000	170408.662280702	3.89639720613096	0.517693521506279	0.5196895263383	0.248781967847469	0	0.398805156573499
"Cuzco 650 999"	"Cuzco"	650	999	3e+05	170000	50000	3.7467008797654	0.590689410081678	0.741708126036484	0.256270447110142	0	0.166666666666667
"Deccan -100 203"	"Deccan"	-100	203	8250000	1400000	84000	3.75	0.731423647026764	0.895261354037788	0.757077108527638	0.906767562625078	0.749296875
"Deccan -1200 -301"	"Deccan"	-1200	-301	12750	1720265.20347003	5250	1.375	0.580672710991492	0.848841170508024	0.680299781197258	0.642525218529877	0.58918054618893
