"pol"	"place"	"time1"	"time2"	"Polity.Population"	"Polity.territory"	"Population.of.the.largest.settlement"	"scale.of.supracultural.interaction"	"dim1"	"dim2"	"dim3"
"Latium -1800 -1001"	"Latium"	-1800	-1001	14965144.9772727	3.5	160	6576506.57777778	0.417338967639546	-0.692267013435563	0.294245566881507
"Latium -264 -134"	"Latium"	-264	-134	3750000	430000	210000	6576506.57777778	-0.661816354438235	0.19678707217625	0.807803910947772
"Latium -31 283"	"Latium"	-31	283	6e+07	4500000	1050000	1.7e+07	-0.731475022892793	0.511387794560178	0.888208376898239
"Latium -3600 -1801"	"Latium"	-3600	-1801	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	0.652576480137915	-0.26786830969908	-0.401959831167903
"Latium -509 -265"	"Latium"	-509	-265	550000	15650	45000	62500	-0.742449264414276	-0.183020346343495	0.713126225546884
"Latium -716 -510"	"Latium"	-716	-510	35000	1000	30500	1250000	-0.645135215623045	-0.243449828568005	0.450335679922409
"Latium 1198 1308"	"Latium"	1198	1308	9e+05	44000	35000	6576506.57777778	-0.786946893293523	0.716141837725309	0.868076472739094
"Latium 1378 1526"	"Latium"	1378	1526	6e+05	44000	29000	6576506.57777778	-0.784420886182503	0.769353901726233	0.824147611562078
"Latium 1527 1647"	"Latium"	1527	1647	1600000	44000	10000	6576506.57777778	-0.841207211420288	0.819822103063439	0.687722572497589
"Latium 1648 1800"	"Latium"	1648	1800	1900000	44000	118000	6576506.57777778	-0.516490456931597	0.946419690295982	0.220769078712724
"Latium 284 394"	"Latium"	284	394	5.5e+07	4250000	8e+05	1.7e+07	-0.672860571471557	0.675751997724499	0.874772224282869
"Latium 395 457"	"Latium"	395	457	14965144.9772727	2e+06	5e+05	6e+06	-0.689712924107998	0.868083186094577	0.874488249635379
"Latium 493 554"	"Latium"	493	554	5500000	635000	150000	6576506.57777778	-0.645143363976813	0.843049984461113	0.759211468444666
"Latium 568 710"	"Latium"	568	710	1e+06	50000	77500	6576506.57777778	-0.644746635877164	0.694058626741503	0.669440134571699
"Latium 711 903"	"Latium"	711	903	917500	50000	70000	1.7e+07	-0.638878325906683	0.675478425097785	0.600983159180538
"Latium 904 1197"	"Latium"	904	1197	775000	6000	35000	1.7e+07	-0.852315061315934	0.623200592041049	0.556538693653016
"Lena River Valley 1400 1642"	"Lena River Valley"	1400	1642	14965144.9772727	1720265.20347003	100	13100000	0.713188925728105	-0.614763647796156	0.210245728489563
"Lena River Valley 1643 1900"	"Lena River Valley"	1643	1900	14965144.9772727	1720265.20347003	170408.662280702	13100000	0.12760121410368	-0.401656382500787	0.470837056881352
"Lowland Andes 1534 1830"	"Lowland Andes"	1534	1830	300	16	300	5500000	0.745504569867761	-0.79405194754875	-0.381987446620055
"Lowland Andes 1831 1931"	"Lowland Andes"	1831	1931	14965144.9772727	1720265.20347003	300	5500000	0.855421791072355	-0.66398705192715	0.125526700650936
"Middle Ganga -187 -65"	"Middle Ganga"	-187	-65	5.9e+07	4e+06	160000	6576506.57777778	-0.649253899382371	0.260831229061949	0.906839947161862
"Middle Ganga -3000 -600"	"Middle Ganga"	-3000	-600	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.581559462628986	0.14858918083734	0.126684868012931
"Middle Ganga -324 -188"	"Middle Ganga"	-324	-188	1.8e+07	4e+06	50000	1700000	-0.804390416427676	0.493454404581236	0.854863089044216
"Middle Ganga -600 -325"	"Middle Ganga"	-600	-325	14965144.9772727	1720265.20347003	30000	6576506.57777778	-0.313085840537012	-0.24051267144421	0.15433099393253
"Middle Ganga -64 34"	"Middle Ganga"	-64	34	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.617696949235352	0.247889335652428	0.878937813187337
"Middle Ganga -7000 -3000"	"Middle Ganga"	-7000	-3000	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.418298299865023	0.430785453365491	0.175443234565093
"Middle Ganga 1090 1202"	"Middle Ganga"	1090	1202	14965144.9772727	325000	86000	6576506.57777778	-0.578776039500055	0.296954738540359	0.799719228530271
"Middle Ganga 1206 1525"	"Middle Ganga"	1206	1525	14965144.9772727	3e+06	3e+05	6576506.57777778	-0.589473904139263	0.765579341154379	0.958985081303184
"Middle Ganga 1526 1803"	"Middle Ganga"	1526	1803	1.3e+08	3850000	4e+05	6576506.57777778	-0.736474502740312	0.80474999578858	0.918575888568914
"Middle Ganga 320 514"	"Middle Ganga"	320	514	14965144.9772727	850000	150000	6576506.57777778	-0.720520896936194	0.236037071563979	0.816530518251392
"Middle Ganga 35 319"	"Middle Ganga"	35	319	13750000	2250000	1e+05	4e+06	-0.763325526484453	0.256644743915822	0.87735128264021
"Middle Ganga 550 606"	"Middle Ganga"	550	606	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.619516233673902	0.207886405949587	0.814671719385287
"Middle Ganga 650 779"	"Middle Ganga"	650	779	14965144.9772727	1720265.20347003	120000	6576506.57777778	-0.701631900407777	0.285708120963677	0.594633348471009
"Middle Ganga 780 809"	"Middle Ganga"	780	809	5500000	6e+05	1e+05	6576506.57777778	-0.70479628895144	0.466556836978336	0.750354087338434
"Middle Ganga 810 1030"	"Middle Ganga"	810	1030	14965144.9772727	1e+06	72000	6576506.57777778	-0.618462602581552	0.216104181402126	0.775098615944686
"Middle Yellow River Valley -1122 -795"	"Middle Yellow River Valley"	-1122	-795	10500000	850000	1e+05	6576506.57777778	-0.939126429845484	-0.452158790692721	0.139976964848211
"Middle Yellow River Valley -1250 -1123"	"Middle Yellow River Valley"	-1250	-1123	5e+06	1e+06	4000	1e+06	-0.866654891235322	-0.775387912679935	-0.124933920204439
"Middle Yellow River Valley -1650 -1251"	"Middle Yellow River Valley"	-1650	-1251	2500000	375000	59500	6576506.57777778	-0.718850692378368	-0.884272591430596	-0.00693737155374463
"Middle Yellow River Valley -1850 -1651"	"Middle Yellow River Valley"	-1850	-1651	68000	15000	16750	6576506.57777778	-0.61697980624957	-0.722390119792033	-0.420851114724066
"Middle Yellow River Valley -202 9"	"Middle Yellow River Valley"	-202	9	52500000	2433000	325000	3500000	-0.887151914439325	0.104674383346107	0.731639923181548
"Middle Yellow River Valley -3000 -1900"	"Middle Yellow River Valley"	-3000	-1900	14965144.9772727	1750	30500	6576506.57777778	-0.373432813097512	-0.554251922995907	-0.647204772962865
"Middle Yellow River Valley -338 -207"	"Middle Yellow River Valley"	-338	-207	4e+07	340000	2e+05	3500000	-0.898604119851067	0.191542475480291	0.502244105168395
"Middle Yellow River Valley -488 -223"	"Middle Yellow River Valley"	-488	-223	14965144.9772727	90000	170408.662280702	3500000	-0.875940587143894	-0.0138079355314431	0.600339613175388
"Middle Yellow River Valley -5000 -3001"	"Middle Yellow River Valley"	-5000	-3001	20000	1720265.20347003	350	1e+06	0.310270988606274	-0.69648681386915	-0.459785407175278
"Middle Yellow River Valley -794 -489"	"Middle Yellow River Valley"	-794	-489	14965144.9772727	160000	170408.662280702	9e+06	-0.939589809188381	-0.312471916424683	0.331150993169588
"Middle Yellow River Valley 1127 1234"	"Middle Yellow River Valley"	1127	1234	49500000	3600000	170408.662280702	3600000	-0.871973518204418	0.634671339522794	0.707353776543895
"Middle Yellow River Valley 1271 1367"	"Middle Yellow River Valley"	1271	1367	72745500	17500000	8e+05	21500000	-0.882886991735426	0.628100505859682	0.618512770719855
"Middle Yellow River Valley 1368 1643"	"Middle Yellow River Valley"	1368	1643	80454350	4427500	150000	4500000	-0.844993293124401	0.643656336917023	0.75635513206523
"Middle Yellow River Valley 1644 1795"	"Middle Yellow River Valley"	1644	1795	1.2e+08	13100000	745400	13100000	-0.910710156560403	0.620976106503291	0.642284822097263
"Middle Yellow River Valley 1796 1912"	"Middle Yellow River Valley"	1796	1912	321500000	11300000	890892	11300000	-0.867989083851219	0.695197400155898	0.693785667515183
"Middle Yellow River Valley 25 219"	"Middle Yellow River Valley"	25	219	37438704	2500000	1e+05	3500000	-0.893006118390258	0.337220769584148	0.482924607457482
"Middle Yellow River Valley 265 317"	"Middle Yellow River Valley"	265	317	16163863	4500000	6e+05	3500000	-0.882384061507228	0.450416205435319	0.635585291376703
"Middle Yellow River Valley 386 557"	"Middle Yellow River Valley"	386	557	3.2e+07	5e+05	6e+05	7500000	-0.66440200853826	0.618203025689036	0.809832522078259
"Middle Yellow River Valley 581 617"	"Middle Yellow River Valley"	581	617	4.6e+07	3050000	5e+05	3500000	-0.874527543072138	0.587925660027531	0.505350319450982
"Middle Yellow River Valley 618 762"	"Middle Yellow River Valley"	618	762	3.7e+07	3600000	1e+06	5500000	-0.886918927444819	0.704850067353336	0.682120949052146
"Middle Yellow River Valley 763 907"	"Middle Yellow River Valley"	763	907	6e+07	8e+05	1e+06	5500000	-0.877137536301562	0.66721839836063	0.64506163007639
"Middle Yellow River Valley 960 1126"	"Middle Yellow River Valley"	960	1126	8e+07	2633500	5e+05	2500000	-0.807209200961742	0.807952107400859	0.696714070981281
"Niger Inland Delta -250 49"	"Niger Inland Delta"	-250	49	250	7.5	125	2e+06	0.655843463832592	0.683131561591016	-0.886029455278234
"Niger Inland Delta 1100 1202"	"Niger Inland Delta"	1100	1202	1250000	375000	17500	6576506.57777778	-0.513201966768984	0.271604977143619	0.839915059354199
"Niger Inland Delta 1235 1410"	"Niger Inland Delta"	1235	1410	4500000	1800000	14500	1800000	-0.510276545540255	0.437645327744598	0.725903236783521
"Niger Inland Delta 1494 1591"	"Niger Inland Delta"	1494	1591	4500000	650000	60000	1800000	-0.659006150927197	0.695494330950199	0.616690350954817
"Niger Inland Delta 1591 1618"	"Niger Inland Delta"	1591	1618	2500000	447000	125000	4750000	-0.66435030153058	0.814730505243008	0.790198501846043
"Niger Inland Delta 1640 1711"	"Niger Inland Delta"	1640	1711	2e+06	250000	170408.662280702	6576506.57777778	-0.0840371046668025	0.116422217315124	0.448415046689405
"Niger Inland Delta 1712 1818"	"Niger Inland Delta"	1712	1818	3500000	4e+05	30000	6576506.57777778	-0.742842965915927	0.575665216448794	0.339371665656404
"Niger Inland Delta 400 899"	"Niger Inland Delta"	400	899	18000	1100	7500	25000	0.665490888157579	0.640453323690625	-0.914377654463825
"Niger Inland Delta 50 399"	"Niger Inland Delta"	50	399	2500	1000	1250	2e+06	0.586958675538752	0.706186302721721	-0.898539171462323
"Niger Inland Delta 700 1077"	"Niger Inland Delta"	700	1077	1125000	375000	17500	6576506.57777778	-0.0807939407906855	0.105546257940861	0.69369284633239
"Niger Inland Delta 900 999"	"Niger Inland Delta"	900	999	27500	1100	25000	25000	0.352147275747082	0.37028483688161	0.359204788651964
"North Colombia 1050 1524"	"North Colombia"	1050	1524	4543.5	150	2550	6576506.57777778	0.175085209464327	0.431315553479535	-0.831600810295315
"North Colombia 250 1049"	"North Colombia"	250	1049	14965144.9772727	1720265.20347003	750	6576506.57777778	0.363781692787125	0.517225393641631	-0.556334899124015
"Orkhon Valley -1400 -300"	"Orkhon Valley"	-1400	-300	62500	875000	170408.662280702	6576506.57777778	-0.154655475910516	-0.953637756956968	0.948936577517865
"Orkhon Valley -209 -60"	"Orkhon Valley"	-209	-60	1500000	4100000	4000	6576506.57777778	-0.142436029440972	-0.944297624929128	0.959253194584143
"Orkhon Valley -59 99"	"Orkhon Valley"	-59	99	1250000	3600000	4000	6576506.57777778	-0.158065294540401	-0.923867209274751	0.963936711635424
"Orkhon Valley 100 250"	"Orkhon Valley"	100	250	1250000	3400000	170408.662280702	6576506.57777778	-0.0986287099729055	-0.95044284761941	0.869060159744997
"Orkhon Valley 1126 1205"	"Orkhon Valley"	1126	1205	1e+05	80000	500	6576506.57777778	0.308766508716198	-0.905720873530856	0.683080929373339
"Orkhon Valley 1206 1270"	"Orkhon Valley"	1206	1270	14965144.9772727	25221806	170408.662280702	6576506.57777778	-0.777849804174082	-0.227824735320928	0.904063623729794
"Orkhon Valley 1271 1367"	"Orkhon Valley"	1271	1367	72745500	17500000	8e+05	21500000	-0.882886991735426	0.628100505859682	0.618512770719855
"Orkhon Valley 1368 1689"	"Orkhon Valley"	1368	1689	55000	2750000	170408.662280702	6576506.57777778	-0.476830010286335	0.312304183238682	0.727550110728621
"Orkhon Valley 1695 1745"	"Orkhon Valley"	1695	1745	1100000	190000	170408.662280702	6576506.57777778	-0.433338393191104	0.48427700923918	0.74265904227183
"Orkhon Valley 1796 1912"	"Orkhon Valley"	1796	1912	321500000	11300000	890892	11300000	-0.867989083851219	0.695197400155898	0.693785667515183
"Orkhon Valley 300 551"	"Orkhon Valley"	300	551	750000	4e+06	170408.662280702	6576506.57777778	-0.471379272973699	-0.200124044268354	0.406707700671805
"Orkhon Valley 583 630"	"Orkhon Valley"	583	630	450000	4750000	170408.662280702	6576506.57777778	-0.384083412614461	0.135786494452651	0.416266300641751
"Orkhon Valley 684 744"	"Orkhon Valley"	684	744	450000	3500000	170408.662280702	6576506.57777778	-0.258368983224043	0.155477780281757	0.581122457648221
"Orkhon Valley 745 840"	"Orkhon Valley"	745	840	450000	2250000	170408.662280702	6576506.57777778	-0.599817903518461	0.432654046116358	0.253286812188328
"Orkhon Valley 841 907"	"Orkhon Valley"	841	907	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.527862108345102	-0.815013274907688	0.798330007339903
"Oro PNG 1734 1883"	"Oro PNG"	1734	1883	14965144.9772727	1720265.20347003	700	940000	0.795207981441584	-0.701046903925903	-0.0865281240488174
"Oro PNG 1884 1942"	"Oro PNG"	1884	1942	9000	22800	700	940000	0.120815289961271	0.826283945943398	-0.372925848720187
"Paris Basin -1000 -901"	"Paris Basin"	-1000	-901	550	1000	100	6576506.57777778	-0.34204672431575	0.0972565264984058	0.0208795573476599
"Paris Basin -174 -27"	"Paris Basin"	-174	-27	75000	15000	9000	6576506.57777778	-0.484028039825371	-0.0975759303878845	0.611116610786604
"Paris Basin -2200 -1001"	"Paris Basin"	-2200	-1001	1500	1720265.20347003	1500	6576506.57777778	-0.513757835638055	0.250902214807406	-0.316682749265491
"Paris Basin -31 283"	"Paris Basin"	-31	283	6e+07	4500000	1050000	1.7e+07	-0.731475022892793	0.511387794560178	0.888208376898239
"Paris Basin -3200 -2201"	"Paris Basin"	-3200	-2201	1000	1720265.20347003	1000	6576506.57777778	-0.371719105920835	0.475675374268055	-0.597214682273108
"Paris Basin -324 -175"	"Paris Basin"	-324	-175	75000	1250	1525	6576506.57777778	-0.421828455039698	-0.23394032034791	0.617046549353114
"Paris Basin -474 -325"	"Paris Basin"	-474	-325	14965144.9772727	1250	3525	6576506.57777778	-0.244006387331491	-0.210256212747712	0.294672027741235
"Paris Basin -600 -475"	"Paris Basin"	-600	-475	14965144.9772727	7500	5000	6576506.57777778	-0.366091427350531	-0.14321744177589	0.186298833371974
"Paris Basin -700 -601"	"Paris Basin"	-700	-601	4000	2750	4000	6576506.57777778	-0.323422513799556	-0.14770246536131	0.354953691662548
"Paris Basin -900 -701"	"Paris Basin"	-900	-701	14965144.9772727	1750	625	6576506.57777778	-0.393813127661233	-0.0874193555322467	0.499659093319008
"Paris Basin 1150 1327"	"Paris Basin"	1150	1327	3e+06	75000	27500	1.7e+07	-0.783866578032156	0.773944225737342	0.537479943711784
"Paris Basin 1328 1449"	"Paris Basin"	1328	1449	9e+06	340000	150000	6576506.57777778	-0.775872280873656	0.811670323570076	0.744700172253684
"Paris Basin 1450 1588"	"Paris Basin"	1450	1588	1.1e+07	450000	275000	6576506.57777778	-0.762868769177387	0.865047710619398	0.547184657623856
"Paris Basin 1589 1659"	"Paris Basin"	1589	1659	18500000	931000	2e+05	6576506.57777778	-0.69944101094383	0.91630383698118	0.460909523010402
"Paris Basin 1660 1788"	"Paris Basin"	1660	1788	21800000	2250000	455000	6576506.57777778	-0.694558106490277	0.912316962557187	0.358748930713923
"Paris Basin 284 473"	"Paris Basin"	284	473	5.5e+07	4250000	8e+05	1.7e+07	-0.672860571471557	0.675751997724499	0.874772224282869
"Paris Basin 481 542"	"Paris Basin"	481	542	1500000	250000	25000	6576506.57777778	-0.677582030443947	0.646365661520604	0.707130177191945
"Paris Basin 543 686"	"Paris Basin"	543	686	1e+06	230000	25000	6576506.57777778	-0.639922499996349	0.684862601164409	0.732208888893694
"Paris Basin 687 750"	"Paris Basin"	687	750	1e+06	250000	25000	6576506.57777778	-0.68038515769383	0.648648102408843	0.734867869965554
"Paris Basin 752 839"	"Paris Basin"	752	839	1.5e+07	1100000	25000	1.7e+07	-0.610602328611026	0.697909271711062	0.400722699177051
"Paris Basin 840 986"	"Paris Basin"	840	986	6500000	675000	10000	1.7e+07	-0.650659084626284	0.704549678053461	0.271095981715794
"Paris Basin 987 1149"	"Paris Basin"	987	1149	750000	15000	25000	1.7e+07	-0.514334527447844	0.613093139827453	0.562262379286139
"Sogdiana -129 29"	"Sogdiana"	-129	29	162500	15000	170408.662280702	4e+06	-0.599516903809879	0.386169258565266	0.829023389701692
"Sogdiana -1400 -1000"	"Sogdiana"	-1400	-1000	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.00877045381701347	-0.26789351743459	0.695371505020239
"Sogdiana -2000 -1401"	"Sogdiana"	-2000	-1401	14965144.9772727	10750	150	2250000	-0.211213483477124	-0.434125963055061	0.679205996885329
"Sogdiana -248 -130"	"Sogdiana"	-248	-130	1750000	7e+05	37500	4750000	-0.659735941611584	0.335724959242443	0.908859460283119
"Sogdiana -300 -249"	"Sogdiana"	-300	-249	1.6e+07	1387500	75000	4750000	-0.774798575439228	0.566160530205948	0.904946779844702
"Sogdiana -3500 -2001"	"Sogdiana"	-3500	-2001	14965144.9772727	1720265.20347003	4375	875000	-0.0805991723012895	0.0762020552421604	0.318653134119184
"Sogdiana -520 -330"	"Sogdiana"	-520	-330	2.6e+07	4e+06	2e+05	2750000	-0.897402934374959	0.630828461732502	0.756195320413589
"Sogdiana -750 -600"	"Sogdiana"	-750	-600	14965144.9772727	1720265.20347003	25000	6576506.57777778	-0.0756480987539063	-0.303928290794268	0.588728963958482
"Sogdiana -999 -751"	"Sogdiana"	-999	-751	75000	1720265.20347003	25000	6576506.57777778	-0.235479117031431	-0.293674421734048	0.618152278592459
"Sogdiana 1263 1361"	"Sogdiana"	1263	1361	2e+06	3500000	170408.662280702	1.1e+07	-0.667816343628344	0.571166397276671	0.83082431187307
"Sogdiana 1370 1526"	"Sogdiana"	1370	1526	4.9e+07	5500000	150000	8500000	-0.49734896850127	0.810798286026928	0.945107148002073
"Sogdiana 1599 1747"	"Sogdiana"	1599	1747	950000	225000	170408.662280702	6576506.57777778	-0.513273552161545	0.699671602992672	0.876209777634121
"Sogdiana 231 425"	"Sogdiana"	231	425	5e+06	2900000	1e+05	3250000	-0.498214161348082	0.783457382799815	0.909283168140535
"Sogdiana 30 230"	"Sogdiana"	30	230	13750000	2250000	1e+05	4e+06	-0.763325526484453	0.256644743915822	0.87735128264021
"Sogdiana 426 563"	"Sogdiana"	426	563	26500000	2e+06	170408.662280702	7750000	-0.579807699181843	0.485171043867947	0.903484563597006
"Sogdiana 564 603"	"Sogdiana"	564	603	1750000	3150000	170408.662280702	6576506.57777778	-0.38145429640861	0.449498265662223	0.834156704050119
"Sogdiana 604 711"	"Sogdiana"	604	711	32500	15000	27500	5e+05	-0.499485451653373	0.580565117291574	0.886288982990947
"Sogdiana 750 946"	"Sogdiana"	750	946	2.1e+07	1e+06	3e+05	1.1e+07	-0.541122953853822	0.914151662368037	0.855584856356864
"Sogdiana 876 990"	"Sogdiana"	876	990	6e+06	6e+05	130000	2750000	-0.696164791566895	0.771962223984036	0.912151035504226
"Sogdiana 991 1212"	"Sogdiana"	991	1212	2250000	1400000	3e+05	3250000	-0.63677372582457	0.593256574200524	0.91063287985583
"Southern China Hills 1701 1895"	"Southern China Hills"	1701	1895	175000	10100	7500	11300000	0.18046262231988	0.0558280559413682	0.679656299046141
"Southern China Hills 1896 1941"	"Southern China Hills"	1896	1941	14965144.9772727	1720265.20347003	170408.662280702	11839074	0.490749571423093	-0.0272239677179344	0.829411645618083
"Southern Mesopotamia -1005 -980"	"Southern Mesopotamia"	-1005	-980	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.737878402100914	0.17835300525416	-0.33540735767555
"Southern Mesopotamia -1153 -1027"	"Southern Mesopotamia"	-1153	-1027	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.815273908857982	0.218908844598419	-0.360464281433365
"Southern Mesopotamia -143 40"	"Southern Mesopotamia"	-143	40	75000	280000	450000	3750000	-0.766334378138104	0.511966036905033	0.840734969230644
"Southern Mesopotamia -1595 -1154"	"Southern Mesopotamia"	-1595	-1154	14965144.9772727	225000	170408.662280702	550000	-0.819455182528843	-0.0265685813571623	0.323053100352015
"Southern Mesopotamia -1894 -1596"	"Southern Mesopotamia"	-1894	-1596	14965144.9772727	450000	170408.662280702	6576506.57777778	-0.788829980064502	0.0772297821780478	0.62610452150213
"Southern Mesopotamia -2003 -1895"	"Southern Mesopotamia"	-2003	-1895	14965144.9772727	1720265.20347003	2e+05	6576506.57777778	-0.842145081827229	0.329565565930596	-0.549711424993216
"Southern Mesopotamia -2112 -2004"	"Southern Mesopotamia"	-2112	-2004	2e+05	1720265.20347003	2e+05	6576506.57777778	-0.944699053870865	-0.0259125269287743	-0.187078952547988
"Southern Mesopotamia -2350 -2150"	"Southern Mesopotamia"	-2350	-2150	14965144.9772727	725000	30000	6576506.57777778	-0.936432724339449	0.139438913476342	-0.305522084965982
"Southern Mesopotamia -2900 -2351"	"Southern Mesopotamia"	-2900	-2351	53250	10700	170408.662280702	6576506.57777778	-0.723016654495856	-0.131499736891609	0.11270257115033
"Southern Mesopotamia -312 -144"	"Southern Mesopotamia"	-312	-144	1.6e+07	1387500	75000	4750000	-0.774798575439228	0.566160530205948	0.904946779844702
"Southern Mesopotamia -4200 -3000"	"Southern Mesopotamia"	-4200	-3000	30500	1900	28500	6576506.57777778	-0.427588026770521	-0.72249315886262	0.299610632537651
"Southern Mesopotamia -539 -331"	"Southern Mesopotamia"	-539	-331	2.6e+07	4e+06	2e+05	2750000	-0.897402934374959	0.630828461732502	0.756195320413589
"Southern Mesopotamia -5500 -4201"	"Southern Mesopotamia"	-5500	-4201	14965144.9772727	1720265.20347003	1000	6576506.57777778	0.402040241940956	0.0406623087860646	-0.887012550918739
"Southern Mesopotamia -626 -538"	"Southern Mesopotamia"	-626	-538	14965144.9772727	8e+05	170408.662280702	6576506.57777778	-0.853669275930258	0.11036543865799	0.622027616940022
"Southern Mesopotamia -729 -627"	"Southern Mesopotamia"	-729	-627	6e+06	1400000	10000	6576506.57777778	-0.851254943884183	-0.00375263624759659	0.0862770960629475
"Southern Mesopotamia -9000 -5501"	"Southern Mesopotamia"	-9000	-5501	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	0.411348014371746	0.847063095227825	-0.850414681253639
"Southern Mesopotamia -979 -732"	"Southern Mesopotamia"	-979	-732	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.432160872770433	0.103662538198554	-0.361734221129118
"Southern Mesopotamia 1056 1190"	"Southern Mesopotamia"	1056	1190	12100000	4250000	750000	3250000	-0.68942257821288	0.807602714016726	0.888818170428264
"Southern Mesopotamia 1191 1207"	"Southern Mesopotamia"	1191	1207	3900000	750000	1e+06	3500000	-0.449968067380119	0.883330690328691	0.842829344451784
"Southern Mesopotamia 1263 1335"	"Southern Mesopotamia"	1263	1335	5250000	3800000	150000	2.5e+07	-0.633081755864109	0.791487948898646	0.917956536184922
"Southern Mesopotamia 1394 1470"	"Southern Mesopotamia"	1394	1470	4.9e+07	5500000	150000	8500000	-0.49734896850127	0.810798286026928	0.945107148002073
"Southern Mesopotamia 1471 1533"	"Southern Mesopotamia"	1471	1533	9e+06	2700000	2e+05	2700000	-0.581723104539124	0.794367422561041	0.878467054952405
"Southern Mesopotamia 1534 1682"	"Southern Mesopotamia"	1534	1682	2.8e+07	4836000	675000	4750000	-0.72584777255265	0.892179516362162	0.88819711746389
"Southern Mesopotamia 1683 1838"	"Southern Mesopotamia"	1683	1838	2.4e+07	4710000	570000	6576506.57777778	-0.650903903541119	0.920248096624653	0.80152301707354
"Southern Mesopotamia 220 498"	"Southern Mesopotamia"	220	498	5e+06	2900000	1e+05	3250000	-0.498214161348082	0.783457382799815	0.909283168140535
"Southern Mesopotamia 41 219"	"Southern Mesopotamia"	41	219	4750000	1800000	30000	3750000	-0.742601435389916	0.216376879459045	0.851596859876534
"Southern Mesopotamia 499 635"	"Southern Mesopotamia"	499	635	8900000	3050000	4e+05	3250000	-0.595867758226045	0.84576889671008	0.920331483946184
"Southern Mesopotamia 661 749"	"Southern Mesopotamia"	661	749	2.8e+07	9e+06	3e+05	9e+06	-0.641697395303621	0.846976858506615	0.727643181268419
"Southern Mesopotamia 750 946"	"Southern Mesopotamia"	750	946	2.1e+07	1e+06	3e+05	1.1e+07	-0.541122953853822	0.914151662368037	0.855584856356864
"Southern Mesopotamia 947 1055"	"Southern Mesopotamia"	947	1055	5e+06	9e+05	512500	3250000	-0.600879970167583	0.661502562966044	0.925357231749851
"Susiana -1100 -901"	"Susiana"	-1100	-901	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.654269793138904	-0.198529958722293	0.178759858269438
"Susiana -1200 -1101"	"Susiana"	-1200	-1101	14965144.9772727	275000	170408.662280702	6576506.57777778	-0.90405673631025	0.0545239851499273	-0.0967932275738748
"Susiana -1400 -1201"	"Susiana"	-1400	-1201	14965144.9772727	310000	11375	6576506.57777778	-0.899816537646646	-0.0422063165896007	-0.0553104470393029
"Susiana -143 24"	"Susiana"	-143	24	75000	280000	450000	3750000	-0.766334378138104	0.511966036905033	0.840734969230644
"Susiana -1500 -1401"	"Susiana"	-1500	-1401	14965144.9772727	245000	3750	6576506.57777778	-0.914981476509333	-0.0172528275365837	-0.289240924717736
"Susiana -1700 -1501"	"Susiana"	-1700	-1501	14965144.9772727	1720265.20347003	15125	6576506.57777778	-0.874173229698364	0.0788870889194989	-0.0861886791835942
"Susiana -1900 -1701"	"Susiana"	-1900	-1701	14965144.9772727	1720265.20347003	16250	6576506.57777778	-0.875173595467168	0.0314178696139298	-0.109989746754204
"Susiana -2028 -1901"	"Susiana"	-2028	-1901	14965144.9772727	1720265.20347003	16250	6576506.57777778	-0.87174114389481	-0.143028544422195	0.0449292598085875
"Susiana -2112 -2029"	"Susiana"	-2112	-2029	2e+05	1720265.20347003	2e+05	6576506.57777778	-0.944699053870865	-0.0259125269287743	-0.187078952547988
"Susiana -2250 -2113"	"Susiana"	-2250	-2113	14965144.9772727	725000	30000	6576506.57777778	-0.936432724339449	0.139438913476342	-0.305522084965982
"Susiana -2675 -2251"	"Susiana"	-2675	-2251	14965144.9772727	250000	5750	6576506.57777778	-0.846737989099791	-0.0593647880033685	-0.308250239320344
"Susiana -3100 -2676"	"Susiana"	-3100	-2676	14965144.9772727	1720265.20347003	6250	6576506.57777778	-0.723463379836319	-0.580355243928151	-0.304034481057097
"Susiana -312 -144"	"Susiana"	-312	-144	1.6e+07	1387500	75000	4750000	-0.774798575439228	0.566160530205948	0.904946779844702
"Susiana -3800 -3101"	"Susiana"	-3800	-3101	15950	1720265.20347003	2625	6576506.57777778	-0.766870074662262	-0.474752684150689	-0.623287869421538
"Susiana -4300 -3801"	"Susiana"	-4300	-3801	6400	1	875	6576506.57777778	0.0746580857525886	-0.719225178928907	-0.338093986595932
"Susiana -4700 -4301"	"Susiana"	-4700	-4301	14965144.9772727	1720265.20347003	1875	6576506.57777778	0.300705767514837	-0.677022238853627	-0.32562748592094
"Susiana -5100 -4701"	"Susiana"	-5100	-4701	14965144.9772727	1720265.20347003	1875	6576506.57777778	0.29464395327699	-0.647457174059917	-0.316900760549011
