"pol"	"place"	"time1"	"time2"	"Polity.Population"	"Polity.territory"	"Population.of.the.largest.settlement"	"scale.of.supracultural.interaction"	"dim1"	"dim2"	"dim3"
"Cahokia 900 1049"	"Cahokia"	900	1049	450	150	450	6576506.57777778	0.548627600547953	-0.455706887184043	-0.755481214086353
"Cambodian Basin -1200 -500"	"Cambodian Basin"	-1200	-500	14965144.9772727	1720265.20347003	150	6576506.57777778	-0.377146465105887	0.305339842980851	0.14886031021575
"Cambodian Basin -500 -224"	"Cambodian Basin"	-500	-224	14965144.9772727	1720265.20347003	150	6576506.57777778	-0.48224608754707	0.202227627401186	0.402288479087174
"Cambodian Basin 1080 1219"	"Cambodian Basin"	1080	1219	1500000	939245	875000	2175000	-0.742184691263221	0.644233138124046	0.438819685872591
"Cambodian Basin 1220 1431"	"Cambodian Basin"	1220	1431	1500000	1e+06	875000	2175000	-0.738365845163037	0.588330118288285	0.0984327586867665
"Cambodian Basin 1432 1593"	"Cambodian Basin"	1432	1593	875000	280000	170408.662280702	2175000	-0.736999912797166	0.555887561983918	0.107017089257564
"Cambodian Basin 1594 1767"	"Cambodian Basin"	1594	1767	14965144.9772727	1720265.20347003	155000	2175000	-0.411429337165948	0.586882003278732	0.624091863222329
"Cambodian Basin 1782 1873"	"Cambodian Basin"	1782	1873	3e+06	513120	75000	2175000	-0.508881943817038	0.480708960906348	0.542540689413107
"Cambodian Basin 225 539"	"Cambodian Basin"	225	539	14965144.9772727	257034	2000	6576506.57777778	-0.789011642618163	0.338860050009932	0.0843084378881611
"Cambodian Basin 540 639"	"Cambodian Basin"	540	639	165000	264200	2000	6576506.57777778	-0.707701853154648	-0.0451752044921194	0.366506618013951
"Cambodian Basin 640 801"	"Cambodian Basin"	640	801	14965144.9772727	531000	60000	2175000	-0.819791349442691	0.13493167466319	0.107764902526454
"Cambodian Basin 802 1079"	"Cambodian Basin"	802	1079	14965144.9772727	916847	3e+05	2175000	-0.829056786969528	0.419726383873702	-0.095555761193288
"Central Java -400 499"	"Central Java"	-400	499	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.630595720648919	-0.760854499678587	0.497103718615133
"Central Java 1049 1222"	"Central Java"	1049	1222	275000	60000	170408.662280702	6576506.57777778	-0.678221235657165	0.338918344064736	0.421703108987255
"Central Java 1291 1518"	"Central Java"	1291	1518	5e+06	5e+05	150000	6576506.57777778	-0.772424553666358	0.29514531412652	0.409140482224175
"Central Java 1568 1703"	"Central Java"	1568	1703	3250000	1e+05	170408.662280702	6576506.57777778	-0.534273142973346	0.836649354107071	0.430955850299232
"Central Java 500 731"	"Central Java"	500	731	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.487361154060241	0.309561338315331	0.52492454381193
"Central Java 732 1019"	"Central Java"	732	1019	3e+05	125000	1000	6576506.57777778	-0.663188288117784	0.35842712960698	0.653446977960054
"Crete -1000 -711"	"Crete"	-1000	-711	14965144.9772727	1720265.20347003	6000	6576506.57777778	-0.398252785899421	0.223174216524373	-0.089306893953814
"Crete -1200 -1001"	"Crete"	-1200	-1001	14965144.9772727	1720265.20347003	1000	6576506.57777778	-0.010512656841754	-0.103654933423162	0.0161219645561803
"Crete -1300 -1201"	"Crete"	-1300	-1201	14965144.9772727	1720265.20347003	1000	6576506.57777778	-0.474690909858229	-0.0521708040940123	-0.305711295716267
