"","pol","place","time1","time2","Polity.Population","Polity.territory","Population.of.the.largest.settlement","scale.of.supracultural.interaction","PC$scores[, 1]","PC$scores[, 2]","PC$scores[, 3]","PC$scores[, 4]","PC$scores[, 5]"
"147","Konya Plain -129 -95","Konya Plain",-129,-95,350000,130000,170408.662280702,6576506.57777778,0.747092579627297,-1.59113042163233,-2.55752956939349,-1.57004742502189,1.09323211008208
"148","Konya Plain -1344 -1181","Konya Plain",-1344,-1181,1650000,325000,17500,6576506.57777778,1.3152496360933,0.00154986427630467,-0.262798762919603,-1.61621013328528,0.315618014147577
"149","Konya Plain -1500 -1400","Konya Plain",-1500,-1400,350000,62500,14500,6576506.57777778,-0.197891665150622,0.80827401087471,-0.463015155700766,-0.274504325561316,0.608372038149677
"150","Konya Plain -1650 -1501","Konya Plain",-1650,-1501,1200000,125000,12500,6576506.57777778,0.338484925277903,-0.526682076817294,0.118955791926142,-1.39252100681819,0.808257620491159
"151","Konya Plain -2000 -1700","Konya Plain",-2000,-1700,75000,20000,10000,6576506.57777778,-2.32145837638887,-1.26034395214319,-2.39704528376952,0.609919823606472,1.26643081084456
"152","Konya Plain -281 -190","Konya Plain",-281,-190,1.6e+07,1387500,75000,4750000,3.39132213080981,-1.53625578420803,-0.805340262914016,-0.519428620180869,-0.106811060168935
"153","Konya Plain -300 -282","Konya Plain",-300,-282,2500000,420000,170408.662280702,6576506.57777778,0.070008257940161,-0.406362671595046,-2.98718071922705,1.62656070211374,1.34206213410503
"154","Konya Plain -3000 -2001","Konya Plain",-3000,-2001,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-4.93706372575752,0.893571721299926,-1.10395885395883,0.170368308019488,-1.35579793647529
"155","Konya Plain -31 283","Konya Plain",-31,283,6e+07,4500000,1050000,1.7e+07,6.77945134490131,1.63831454165043,1.54967679713377,0.38581211556068,0.960911440127831
"156","Konya Plain -5000 -3001","Konya Plain",-5000,-3001,14965144.9772727,90,3150,6576506.57777778,-5.82263081671197,0.667858800830242,-0.0187888245872875,0.473729942253587,-0.14719181646006
"157","Konya Plain -546 -334","Konya Plain",-546,-334,2.6e+07,4e+06,2e+05,2750000,5.06386760683625,-0.270911268255456,1.16034850716073,0.769798398003458,-1.27573966668128
"158","Konya Plain -6000 -5501","Konya Plain",-6000,-5501,3250,1720265.20347003,3150,6576506.57777778,-7.28878482505124,-0.115038858208972,0.0264677007072342,0.347162554783042,-0.228867373732728
"159","Konya Plain -6600 -6001","Konya Plain",-6600,-6001,3250,1720265.20347003,5750,6576506.57777778,-6.74740399291915,-2.23596957645994,0.694507324681731,-1.39030563039137,0.0134734515679491
"160","Konya Plain -670 -547","Konya Plain",-670,-547,14965144.9772727,250000,15000,6576506.57777778,1.10244860093324,-0.669056156519061,-1.83234739587597,-0.808190278395506,0.923834662709272
"161","Konya Plain -7000 -6601","Konya Plain",-7000,-6601,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-6.7753292029713,-2.18140651215256,0.816570547874926,-1.47466829312761,0.180283860675598
"162","Konya Plain -836 -696","Konya Plain",-836,-696,1250000,1e+05,17500,6576506.57777778,-1.31655465920567,-0.475284681266404,-0.41261141247974,0.887748174257827,-0.355000833728322
"163","Konya Plain -900 -837","Konya Plain",-900,-837,14965144.9772727,5000,170408.662280702,6576506.57777778,-2.67922127799136,0.578031913220424,-2.1829924496862,1.01421187930938,-0.827341939701935
"164","Konya Plain -9600 -7001","Konya Plain",-9600,-7001,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-6.73820682358197,-2.12612817341114,0.76829825004301,-1.51445812963257,0.0742284148326569
"165","Konya Plain 1093 1243","Konya Plain",1093,1243,1750000,275000,35000,6576506.57777778,2.28182339382332,-1.14671865187623,-2.88952258963599,0.365421311061249,0.526076479000763
"166","Konya Plain 1263 1326","Konya Plain",1263,1326,5250000,3800000,150000,2.5e+07,3.43005050971072,-1.56707855195851,-0.498183443021475,0.752076750937289,0.407503011310755
"167","Konya Plain 1393 1402","Konya Plain",1393,1402,8e+05,18000,25000,4750000,1.33151454441881,-2.48116476071645,-2.22070269291158,0.619495888268672,1.85026894619081
"168","Konya Plain 1421 1516","Konya Plain",1421,1516,7e+06,522000,230000,4750000,4.30988032899122,-0.0324738715935401,0.669496848299806,0.473251021247653,-0.573262414631112
"169","Konya Plain 1517 1682","Konya Plain",1517,1682,2.8e+07,4836000,675000,4750000,7.16824437159133,1.59736029990716,1.53422141604181,0.842371858512781,0.745199921804083
"170","Konya Plain 1683 1838","Konya Plain",1683,1838,2.4e+07,4710000,570000,6576506.57777778,6.96214901158596,1.63439138395326,0.87326798832864,0.590886721739859,1.5542939444415
"171","Konya Plain 284 394","Konya Plain",284,394,5.5e+07,4250000,8e+05,1.7e+07,6.21556450052343,0.0372239108206078,-2.21138115187371,-0.648767420428063,1.75153445582742
"172","Konya Plain 395 607","Konya Plain",395,607,13750000,1600000,2e+05,13500000,7.15014828580514,2.3652598107824,-0.752566550266356,-1.27455389795916,-0.543892813831648
"173","Konya Plain 632 866","Konya Plain",632,866,6250000,1235000,215000,17500000,6.79657350815838,1.76259795058783,-0.819905421941008,-1.31351176351318,-0.959867820910098
"174","Konya Plain 867 1072","Konya Plain",867,1072,10750000,520000,1e+05,17500000,7.02003485819344,2.05384151537627,-0.831361282915158,-1.26527272067543,-0.820352581068779
"175","Latium -1000 -717","Latium",-1000,-717,14965144.9772727,1720265.20347003,200,6576506.57777778,-5.09674731786336,-2.1310518599108,0.278319885537209,-0.299036598642556,-0.0111690897393035
"176","Latium -133 -31","Latium",-133,-31,3e+07,2725000,4e+05,6576506.57777778,3.18620678745376,-0.731340874204809,-2.40798432844611,-1.13577222928236,1.71272403890155
"177","Latium -1800 -1001","Latium",-1800,-1001,14965144.9772727,3.5,160,6576506.57777778,-7.69880321737596,-0.556073781384773,-0.31071556805039,0.704298674427175,-0.563990074551161
"178","Latium -264 -134","Latium",-264,-134,3750000,430000,210000,6576506.57777778,2.00351584866548,-0.532204923888161,0.39066445792712,-0.942075334549931,-0.989118647514016
"179","Latium -31 283","Latium",-31,283,6e+07,4500000,1050000,1.7e+07,6.77945134490131,1.63831454165043,1.54967679713377,0.38581211556068,0.960911440127831
"180","Latium -3600 -1801","Latium",-3600,-1801,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-8.23450207177855,-0.314656337712384,-0.079193280421633,0.253409615820336,-0.266906261804684
"181","Latium -509 -265","Latium",-509,-265,550000,15650,45000,62500,0.49821611743887,-0.812253278862864,-0.648569218927248,-1.10264989634999,-0.686143492322301
"182","Latium -716 -510","Latium",-716,-510,35000,1000,30500,1250000,-1.23927474487215,-1.99340990126482,1.18137545404421,-0.492004853174779,0.0862647320022211
"183","Latium 1198 1308","Latium",1198,1308,9e+05,44000,35000,6576506.57777778,3.27222360880929,-0.545769933930576,-1.19883147626669,-1.51095088369625,-2.13236366065344
"184","Latium 1378 1526","Latium",1378,1526,6e+05,44000,29000,6576506.57777778,1.88258098893074,0.923438185495821,-0.979806569736849,0.674804469384199,-2.82688686235588
"185","Latium 1527 1647","Latium",1527,1647,1600000,44000,10000,6576506.57777778,2.85458664420692,-0.506882012749653,-1.24228820135815,-1.70639338276394,-2.16268752489091
"186","Latium 1648 1800","Latium",1648,1800,1900000,44000,118000,6576506.57777778,3.03750991948438,0.240447263473321,-0.692940733809671,-2.0971800956535,-1.58742530066058
"187","Latium 284 394","Latium",284,394,5.5e+07,4250000,8e+05,1.7e+07,6.21556450052343,0.0372239108206078,-2.21138115187371,-0.648767420428063,1.75153445582742
"188","Latium 395 457","Latium",395,457,14965144.9772727,2e+06,5e+05,6e+06,7.09584007595733,2.67017219188677,-1.02521447967239,-1.9937095249227,-0.901043852740844
"189","Latium 493 554","Latium",493,554,5500000,635000,150000,6576506.57777778,3.73138960912258,-0.944319515106493,-1.12144598346724,-1.18212723410452,-0.701142427145905
"190","Latium 568 710","Latium",568,710,1e+06,50000,77500,6576506.57777778,2.73242143752463,-0.9790870598519,-3.1276680102185,-1.10933076544596,-0.156107026571565
"191","Latium 711 903","Latium",711,903,917500,50000,70000,1.7e+07,2.42608797805868,0.521002019102482,-1.21998351657896,-0.456236948077938,-1.50225374179209
"192","Latium 904 1197","Latium",904,1197,775000,6000,35000,1.7e+07,2.91122167569391,1.3619505902924,-4.13288615849328,-0.28612611581041,-0.631813028871767
"193","Lena River Valley 1400 1642","Lena River Valley",1400,1642,14965144.9772727,1720265.20347003,100,13100000,-7.1948377086255,0.325031951619281,0.856626398838612,1.09777307177751,-0.633134206052685
"194","Lena River Valley 1643 1900","Lena River Valley",1643,1900,14965144.9772727,1720265.20347003,170408.662280702,13100000,-5.61154918482966,-2.04207537568762,-2.22142242325113,0.247133814547299,1.40040057518861
"195","Lowland Andes 1534 1830","Lowland Andes",1534,1830,300,16,300,5500000,-6.16108202880061,-0.673431961422285,-1.28149166170746,-2.42198545170288,2.75990630321453
"196","Lowland Andes 1831 1931","Lowland Andes",1831,1931,14965144.9772727,1720265.20347003,300,5500000,-7.2205391987161,1.40993834432126,0.926928253563144,0.30106244856979,0.164227557594225
"197","Middle Ganga -187 -65","Middle Ganga",-187,-65,5.9e+07,4e+06,160000,6576506.57777778,0.927852830496198,-0.766688623340637,-0.412114636974793,1.10047780732675,-0.785002925118143
"198","Middle Ganga -3000 -600","Middle Ganga",-3000,-600,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-1.03411715265194,0.15304396669354,-0.102210507165891,-0.306170757986846,0.101189598884574
"199","Middle Ganga -324 -188","Middle Ganga",-324,-188,1.8e+07,4e+06,50000,1700000,3.9344273692533,-0.331826421415034,1.29593106622687,0.910852777910536,-0.24612686867849
"200","Middle Ganga -600 -325","Middle Ganga",-600,-325,14965144.9772727,1720265.20347003,30000,6576506.57777778,-1.65416426937323,-0.488647605509176,0.483415678292328,-0.369999342657326,0.529677289007912
"201","Middle Ganga -64 34","Middle Ganga",-64,34,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,0.808503231989718,-0.691207383582005,-0.488046867188941,0.931589977164964,-0.618808670318364
"202","Middle Ganga -7000 -3000","Middle Ganga",-7000,-3000,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-1.37093358454891,0.13152338839449,-0.0661009519951938,-0.156943264631558,-0.0423185008974477
"203","Middle Ganga 1090 1202","Middle Ganga",1090,1202,14965144.9772727,325000,86000,6576506.57777778,0.786557325159615,-0.444695358944557,-0.3218997213132,0.804041587113263,-0.59272695245697
"204","Middle Ganga 1206 1525","Middle Ganga",1206,1525,14965144.9772727,3e+06,3e+05,6576506.57777778,6.27152521160474,1.42229221442133,-0.760857854641292,0.699120915487041,0.658470102221859
"205","Middle Ganga 1526 1803","Middle Ganga",1526,1803,1.3e+08,3850000,4e+05,6576506.57777778,3.35084257644208,-1.69917309563868,2.05508430106408,2.15913232875475,0.392576385715432
"206","Middle Ganga 320 514","Middle Ganga",320,514,14965144.9772727,850000,150000,6576506.57777778,3.1827555300671,1.21268937334499,-0.760248431301511,0.994186854098157,-1.88294408623499
"207","Middle Ganga 35 319","Middle Ganga",35,319,13750000,2250000,1e+05,4e+06,1.62775634254851,-2.118124464892,-2.55713521363312,0.704366296430396,0.531912583940153
"208","Middle Ganga 550 606","Middle Ganga",550,606,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,0.657459137010808,-0.539114353308087,-0.388365341752196,0.768235355316327,-0.666422824889519
"209","Middle Ganga 650 779","Middle Ganga",650,779,14965144.9772727,1720265.20347003,120000,6576506.57777778,1.21378588394939,-0.0524456937471377,-0.209802181424178,0.72654744120495,-0.43051573725483
"210","Middle Ganga 780 809","Middle Ganga",780,809,5500000,6e+05,1e+05,6576506.57777778,1.7335197724919,1.24885095681865,-0.391850136222807,0.853028865043396,-2.74685229556174
"211","Middle Ganga 810 1030","Middle Ganga",810,1030,14965144.9772727,1e+06,72000,6576506.57777778,0.604090835364441,-0.507671643541376,-0.331943589012759,0.684998338232336,-0.625788879753999
"212","Middle Yellow River Valley -1122 -795","Middle Yellow River Valley",-1122,-795,10500000,850000,1e+05,6576506.57777778,1.71253924114015,-1.40941702985254,-1.61646187467202,-1.14842039202179,2.60663022791254
"213","Middle Yellow River Valley -1250 -1123","Middle Yellow River Valley",-1250,-1123,5e+06,1e+06,4000,1e+06,-0.388437776645534,-1.66919005171083,-1.59810868286784,-2.25429104502529,2.06710203297064
"214","Middle Yellow River Valley -1650 -1251","Middle Yellow River Valley",-1650,-1251,2500000,375000,59500,6576506.57777778,-2.06278834859978,-1.49505469592405,0.412878836411723,-1.88205343969895,-0.0971626870091399
"215","Middle Yellow River Valley -1850 -1651","Middle Yellow River Valley",-1850,-1651,68000,15000,16750,6576506.57777778,-3.66800627827776,0.793696447461123,-0.532620457319979,0.469472306482578,-0.237064308284425
"216","Middle Yellow River Valley -202 9","Middle Yellow River Valley",-202,9,52500000,2433000,325000,3500000,4.51203364604235,-0.566583086793855,-1.21858249593982,-0.0789174666447273,2.86262165704638
"217","Middle Yellow River Valley -3000 -1900","Middle Yellow River Valley",-3000,-1900,14965144.9772727,1750,30500,6576506.57777778,-2.9773031904316,2.40382255829765,-0.53394994163281,0.0179498174038841,0.188138823176821
"218","Middle Yellow River Valley -338 -207","Middle Yellow River Valley",-338,-207,4e+07,340000,2e+05,3500000,3.46930343256796,-0.39332215625736,1.68072730673298,-0.0608958736775176,0.183138815882197
"219","Middle Yellow River Valley -488 -223","Middle Yellow River Valley",-488,-223,14965144.9772727,90000,170408.662280702,3500000,1.18459740997099,-1.07800337110857,-0.0523266481691562,-0.268223205213137,-0.261198273393682
"220","Middle Yellow River Valley -5000 -3001","Middle Yellow River Valley",-5000,-3001,20000,1720265.20347003,350,1e+06,-5.11226188928017,2.83148992179238,-0.344549065621121,-0.546849785730797,0.631540817865824
"221","Middle Yellow River Valley -794 -489","Middle Yellow River Valley",-794,-489,14965144.9772727,160000,170408.662280702,9e+06,-0.137131981167758,-0.306810377317688,-3.00154337960175,0.304734572317559,1.03256854538925
"222","Middle Yellow River Valley 1127 1234","Middle Yellow River Valley",1127,1234,49500000,3600000,170408.662280702,3600000,2.18732102550639,-1.88835076836759,0.314741580466158,0.313008668042603,-0.74214331483775
"223","Middle Yellow River Valley 1271 1367","Middle Yellow River Valley",1271,1367,72745500,17500000,8e+05,21500000,5.09573390682703,-0.752003782981744,1.05384735847713,0.444439486377411,0.32161866586188
"224","Middle Yellow River Valley 1368 1643","Middle Yellow River Valley",1368,1643,80454350,4427500,150000,4500000,4.24654326472781,-0.523625622545426,0.537847874326067,0.381547507234763,0.607930446470833
"225","Middle Yellow River Valley 1644 1795","Middle Yellow River Valley",1644,1795,1.2e+08,13100000,745400,13100000,6.33860712875676,1.3945122835643,1.13527702524956,0.968358393939264,1.93911841197171
"226","Middle Yellow River Valley 1796 1912","Middle Yellow River Valley",1796,1912,321500000,11300000,890892,11300000,6.22504475655923,1.10736998102408,1.13605754097617,0.96577957624516,1.73055212885839
"227","Middle Yellow River Valley 25 219","Middle Yellow River Valley",25,219,37438704,2500000,1e+05,3500000,3.96604587780287,-0.54438790751142,1.639783166924,0.801944579979172,1.88620515612621
"228","Middle Yellow River Valley 265 317","Middle Yellow River Valley",265,317,16163863,4500000,6e+05,3500000,4.72281070438421,-0.558797954240637,2.50591870271542,1.1931192971341,1.16747372778982
"229","Middle Yellow River Valley 386 557","Middle Yellow River Valley",386,557,3.2e+07,5e+05,6e+05,7500000,3.03378396519403,-1.79325274216198,0.917751188300644,0.968920822148756,0.380003517204545
"230","Middle Yellow River Valley 581 617","Middle Yellow River Valley",581,617,4.6e+07,3050000,5e+05,3500000,2.45857010043938,-0.820186222741901,1.37984161257264,0.162311930227153,-0.394079003056717
"231","Middle Yellow River Valley 618 762","Middle Yellow River Valley",618,762,3.7e+07,3600000,1e+06,5500000,5.22979506965925,0.474397048338492,1.65018803726809,0.742859781024446,0.58292063534272
"232","Middle Yellow River Valley 763 907","Middle Yellow River Valley",763,907,6e+07,8e+05,1e+06,5500000,3.00570721665205,-0.620522835659247,1.12563672323687,0.893291854996866,-0.946667400158255
"233","Middle Yellow River Valley 960 1126","Middle Yellow River Valley",960,1126,8e+07,2633500,5e+05,2500000,6.10490781848078,1.01284391907317,2.13103410284896,1.14648016920096,1.58719862200254
"234","Niger Inland Delta -250 49","Niger Inland Delta",-250,49,250,7.5,125,2e+06,-5.53197072420288,2.79635329271951,-0.587321403059009,-0.0500844937711784,0.167733100554684
"235","Niger Inland Delta 1100 1202","Niger Inland Delta",1100,1202,1250000,375000,17500,6576506.57777778,0.418070328904669,-2.40411813211277,-0.116775869690263,-0.822001924841703,-0.543166195705388
"236","Niger Inland Delta 1235 1410","Niger Inland Delta",1235,1410,4500000,1800000,14500,1800000,0.667240633464245,-2.45239223688311,0.637227424894775,-0.034053736144114,-0.14294735494174
"237","Niger Inland Delta 1494 1591","Niger Inland Delta",1494,1591,4500000,650000,60000,1800000,1.83404283940862,-1.40526039505291,0.179799426216693,-0.211993359403522,-0.297924430422127
"238","Niger Inland Delta 1591 1618","Niger Inland Delta",1591,1618,2500000,447000,125000,4750000,2.71834957829958,-1.49334851834746,0.249202795280208,0.748515877560283,-0.344061779820855
"239","Niger Inland Delta 1640 1711","Niger Inland Delta",1640,1711,2e+06,250000,170408.662280702,6576506.57777778,-2.3396639388787,-2.84133879267957,1.15413963457463,-0.572044071668887,0.703411794293868
"240","Niger Inland Delta 1712 1818","Niger Inland Delta",1712,1818,3500000,4e+05,30000,6576506.57777778,1.48953721106604,-1.31582014885004,0.148748365205842,-0.641882508538917,-0.108060717948385
"241","Niger Inland Delta 400 899","Niger Inland Delta",400,899,18000,1100,7500,25000,-4.73324301538976,2.92730571545755,-0.276127436683427,-0.142841129392439,0.424520762591636
"242","Niger Inland Delta 50 399","Niger Inland Delta",50,399,2500,1000,1250,2e+06,-4.95208493306229,2.87351836909246,-0.443710464147515,-0.0481448365222222,0.295578101812546
"243","Niger Inland Delta 700 1077","Niger Inland Delta",700,1077,1125000,375000,17500,6576506.57777778,-0.656782490067363,-1.76260943407448,0.734494984754676,-1.03688575132328,0.269024414613332
"244","Niger Inland Delta 900 999","Niger Inland Delta",900,999,27500,1100,25000,25000,-3.29801731621102,2.23376356362745,-0.79311563553065,0.980894883056638,-0.0725439306395745
"245","North Colombia 1050 1524","North Colombia",1050,1524,4543.5,150,2550,6576506.57777778,-6.32504968862269,0.222480078808849,-0.0389568329485214,0.640323855862431,-0.439521599952717
"246","North Colombia 250 1049","North Colombia",250,1049,14965144.9772727,1720265.20347003,750,6576506.57777778,-4.81469074733643,2.49886443305068,-0.797203778884423,0.275103849372336,-0.0487578612989796
"247","Orkhon Valley -1400 -300","Orkhon Valley",-1400,-300,62500,875000,170408.662280702,6576506.57777778,-3.99478776380879,-1.59000534538518,0.592801296814387,0.179550112488593,1.04196425704707
"248","Orkhon Valley -209 -60","Orkhon Valley",-209,-60,1500000,4100000,4000,6576506.57777778,-1.38615480775913,-0.637220509934361,1.18012090967221,0.340841655404804,2.404979873458
"249","Orkhon Valley -59 99","Orkhon Valley",-59,99,1250000,3600000,4000,6576506.57777778,-1.25032116594029,-0.698358236812101,1.10253029361718,0.397029337721608,2.34564082869553
"250","Orkhon Valley 100 250","Orkhon Valley",100,250,1250000,3400000,170408.662280702,6576506.57777778,-2.62027394911257,0.517869252479385,0.731704627294655,0.927052569831745,2.02216146064228
"251","Orkhon Valley 1126 1205","Orkhon Valley",1126,1205,1e+05,80000,500,6576506.57777778,-5.28655749507623,1.15383473001193,0.215852649048365,2.04880539114342,0.704110182988309
"252","Orkhon Valley 1206 1270","Orkhon Valley",1206,1270,14965144.9772727,25221806,170408.662280702,6576506.57777778,1.55594793044434,-0.936983629060628,0.959833916323771,1.62859298867747,-1.68357799289429
"253","Orkhon Valley 1271 1367","Orkhon Valley",1271,1367,72745500,17500000,8e+05,21500000,5.09573390682703,-0.752003782981744,1.05384735847713,0.444439486377411,0.32161866586188
"254","Orkhon Valley 1368 1689","Orkhon Valley",1368,1689,55000,2750000,170408.662280702,6576506.57777778,-1.9789741048307,0.916273332119647,-1.43395759187378,2.48074110073052,-0.960074747466253
"255","Orkhon Valley 1695 1745","Orkhon Valley",1695,1745,1100000,190000,170408.662280702,6576506.57777778,-0.691316438930049,-1.66360091903761,1.18158002231797,0.946893671090384,-0.334080119295619
"256","Orkhon Valley 1796 1912","Orkhon Valley",1796,1912,321500000,11300000,890892,11300000,6.22504475655923,1.10736998102408,1.13605754097617,0.96577957624516,1.73055212885839
"257","Orkhon Valley 300 551","Orkhon Valley",300,551,750000,4e+06,170408.662280702,6576506.57777778,-1.90312290406734,-1.99103275470874,0.797292514810234,0.256960092596918,0.770927118957041
"258","Orkhon Valley 583 630","Orkhon Valley",583,630,450000,4750000,170408.662280702,6576506.57777778,-1.94609579406801,-1.31038277330157,0.27784288580152,0.436390397164901,-0.258884233184085
"259","Orkhon Valley 684 744","Orkhon Valley",684,744,450000,3500000,170408.662280702,6576506.57777778,-1.72247852612716,-1.75361798759759,0.358722956842782,-0.150781981980904,0.0855911225571188
"260","Orkhon Valley 745 840","Orkhon Valley",745,840,450000,2250000,170408.662280702,6576506.57777778,0.250255849273303,-0.806684720174324,-1.55896684067167,-0.26801671480839,0.928689162019543
"261","Orkhon Valley 841 907","Orkhon Valley",841,907,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-3.13949493836686,1.48226805703984,-1.36632621987626,0.823063755058767,-0.365006891833833
"262","Oro PNG 1734 1883","Oro PNG",1734,1883,14965144.9772727,1720265.20347003,700,940000,-5.99863353382886,2.53124573516729,1.69963312086799,0.773721920992247,1.57850172401941
"263","Oro PNG 1884 1942","Oro PNG",1884,1942,9000,22800,700,940000,-4.67135664049512,-1.13155727986497,-2.48225852817443,-0.180785143678024,1.18286569081736
"264","Paris Basin -1000 -901","Paris Basin",-1000,-901,550,1000,100,6576506.57777778,-5.34716480454937,-2.30300017641659,0.458686410742947,0.435380795740334,-1.68673056344169
"265","Paris Basin -174 -27","Paris Basin",-174,-27,75000,15000,9000,6576506.57777778,-1.63033660358056,-0.727814403371347,-0.11666947293576,-0.150826236912451,-0.254594731900919
"266","Paris Basin -2200 -1001","Paris Basin",-2200,-1001,1500,1720265.20347003,1500,6576506.57777778,-3.70374193002456,1.76730227725729,-0.658123017780479,0.8801028735182,-1.5360867425266
"267","Paris Basin -31 283","Paris Basin",-31,283,6e+07,4500000,1050000,1.7e+07,6.77945134490131,1.63831454165043,1.54967679713377,0.38581211556068,0.960911440127831
"268","Paris Basin -3200 -2201","Paris Basin",-3200,-2201,1000,1720265.20347003,1000,6576506.57777778,-4.07821839379645,1.84752453645599,-0.589776879175595,0.690862426077013,-1.44753781984454
"269","Paris Basin -324 -175","Paris Basin",-324,-175,75000,1250,1525,6576506.57777778,-1.50032918089217,-0.992367845850558,-0.079414718425371,-0.999657602095566,-0.289082140732598
"270","Paris Basin -474 -325","Paris Basin",-474,-325,14965144.9772727,1250,3525,6576506.57777778,-2.49315341593753,-1.21234837333922,0.16331016206748,-1.45676700784312,-0.487964689635847
"271","Paris Basin -600 -475","Paris Basin",-600,-475,14965144.9772727,7500,5000,6576506.57777778,-3.69189327359791,-2.31497755536995,-2.29366607712309,0.537846760883518,1.09081244856054
"272","Paris Basin -700 -601","Paris Basin",-700,-601,4000,2750,4000,6576506.57777778,-3.66365049909012,-2.33698649165434,-2.27608696657357,0.634855478525285,1.13941093766491
"273","Paris Basin -900 -701","Paris Basin",-900,-701,14965144.9772727,1750,625,6576506.57777778,-3.92178890359328,-2.56868637738057,-2.48828601415242,0.751858590597381,0.92475136465893
"274","Paris Basin 1150 1327","Paris Basin",1150,1327,3e+06,75000,27500,1.7e+07,3.63529396982965,0.0772201837712112,-0.133208331383713,-1.72257889186417,-2.85606072207358
"275","Paris Basin 1328 1449","Paris Basin",1328,1449,9e+06,340000,150000,6576506.57777778,3.68447107215229,0.328243336933556,-0.299236893696824,-1.81143626215432,-2.4690553876752
"276","Paris Basin 1450 1588","Paris Basin",1450,1588,1.1e+07,450000,275000,6576506.57777778,6.67526022246337,3.70925732640265,-0.0227319277805445,-1.39424461648363,-0.230773681859805
"277","Paris Basin 1589 1659","Paris Basin",1589,1659,18500000,931000,2e+05,6576506.57777778,6.78828987659145,4.0239540396816,0.155130723114551,-1.55026948860269,-0.0514006385378613
"278","Paris Basin 1660 1788","Paris Basin",1660,1788,21800000,2250000,455000,6576506.57777778,7.46124511528233,5.10018347343099,0.591106052230344,-1.0777556302718,1.13929739281795
"279","Paris Basin 284 473","Paris Basin",284,473,5.5e+07,4250000,8e+05,1.7e+07,6.21556450052343,0.0372239108206078,-2.21138115187371,-0.648767420428063,1.75153445582742
"280","Paris Basin 481 542","Paris Basin",481,542,1500000,250000,25000,6576506.57777778,1.14943682900791,-0.72538969161262,-0.414517220726443,-0.858663176843982,-2.66165946744649
"281","Paris Basin 543 686","Paris Basin",543,686,1e+06,230000,25000,6576506.57777778,1.42615988288208,-0.785135168354427,-0.318817486506331,-0.662539221577693,-2.8437524123621
"282","Paris Basin 687 750","Paris Basin",687,750,1e+06,250000,25000,6576506.57777778,1.1167997573344,-0.355879127911049,-0.590490226811753,-0.183376046145217,-2.98525919686915
"283","Paris Basin 752 839","Paris Basin",752,839,1.5e+07,1100000,25000,1.7e+07,1.59482811480889,-0.525095860873907,-1.41289538958606,-2.53917863452847,-2.46726349334795
"284","Paris Basin 840 986","Paris Basin",840,986,6500000,675000,10000,1.7e+07,0.420854930899792,1.44542046706855,-1.41634622297069,-0.887577370533602,-3.75533882519593
"285","Paris Basin 987 1149","Paris Basin",987,1149,750000,15000,25000,1.7e+07,1.13436138141632,1.69927006820104,-1.11347099327813,-0.389152053074815,-3.31463048240626
"286","Sogdiana -129 29","Sogdiana",-129,29,162500,15000,170408.662280702,4e+06,-2.4305302121129,-0.619421621976957,-1.2865453973971,3.27657504035485,-1.5370268715554
"287","Sogdiana -1400 -1000","Sogdiana",-1400,-1000,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-6.54169244965026,-1.21490980180022,-0.829004610868392,1.6043369510008,-1.09858803973432
"288","Sogdiana -2000 -1401","Sogdiana",-2000,-1401,14965144.9772727,10750,150,2250000,-2.66907953638043,2.40153755702579,0.0650808835276647,1.56300729980523,-0.740634880870783
"289","Sogdiana -248 -130","Sogdiana",-248,-130,1750000,7e+05,37500,4750000,1.20091645236689,-2.42879700411044,0.665923846478512,0.965732134599292,0.229913293381672
"290","Sogdiana -300 -249","Sogdiana",-300,-249,1.6e+07,1387500,75000,4750000,3.39132213080981,-1.53625578420803,-0.805340262914016,-0.519428620180869,-0.106811060168935
"291","Sogdiana -3500 -2001","Sogdiana",-3500,-2001,14965144.9772727,1720265.20347003,4375,875000,-2.39804457057487,2.56145459259514,0.314665133095482,1.38813961233512,-0.749462239996175
"292","Sogdiana -520 -330","Sogdiana",-520,-330,2.6e+07,4e+06,2e+05,2750000,5.06386760683625,-0.270911268255456,1.16034850716073,0.769798398003458,-1.27573966668128
"293","Sogdiana -750 -600","Sogdiana",-750,-600,14965144.9772727,1720265.20347003,25000,6576506.57777778,-2.28694030126857,-1.55492819876888,1.24565244604557,-0.351343483743796,1.68679242740266
"294","Sogdiana -999 -751","Sogdiana",-999,-751,75000,1720265.20347003,25000,6576506.57777778,-1.74278929628546,2.2403586331365,-0.661676879053598,1.34172354055764,0.0678926546635296
"295","Sogdiana 1263 1361","Sogdiana",1263,1361,2e+06,3500000,170408.662280702,1.1e+07,0.229447581072632,-1.24776928091412,-0.0912121855279989,1.71059331496204,0.0334838793797839
