"","pol","place","time1","time2","Polity.Population","Polity.territory","Population.of.the.largest.settlement","scale.of.supracultural.interaction","PC$scores[, 1]","PC$scores[, 2]","PC$scores[, 3]","PC$scores[, 4]","PC$scores[, 5]"
"31","Cambodian Basin 1220 1431","Cambodian Basin",1220,1431,1500000,1e+06,875000,2175000,2.96534855366828,-0.0670559363482795,0.853678623754892,-1.30374756993196,-0.801196227878953
"32","Cambodian Basin 1432 1593","Cambodian Basin",1432,1593,875000,280000,170408.662280702,2175000,5.12804424603958,0.768734762203503,0.760227416674669,-1.48559100752783,-2.00154161918702
"33","Cambodian Basin 1594 1767","Cambodian Basin",1594,1767,14965144.9772727,1720265.20347003,155000,2175000,2.50567395881212,1.43326049398543,-1.76937705689355,-0.768310963957379,-1.05040289354032
"34","Cambodian Basin 1782 1873","Cambodian Basin",1782,1873,3e+06,513120,75000,2175000,2.28557096067203,0.14312408085527,-3.17979988756876,-1.79922086367668,0.083577910564525
"35","Cambodian Basin 225 539","Cambodian Basin",225,539,14965144.9772727,257034,2000,6576506.57777778,-1.8939111310483,-3.14358676951795,-0.875436553688118,-0.641073038355683,-0.948617249330992
"36","Cambodian Basin 540 639","Cambodian Basin",540,639,165000,264200,2000,6576506.57777778,-1.67905242086382,-2.99076619643894,-0.687032276004293,-0.774679627468838,-0.621601486720774
"37","Cambodian Basin 640 801","Cambodian Basin",640,801,14965144.9772727,531000,60000,2175000,0.0481006214561813,-0.717877733728641,0.337078361534321,-1.30832483435804,-2.00411362199395
"38","Cambodian Basin 802 1079","Cambodian Basin",802,1079,14965144.9772727,916847,3e+05,2175000,2.5520227321544,-0.0601022213731133,0.827911423328442,-1.30112935215965,-0.858623805838552
"39","Central Java -400 499","Central Java",-400,499,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-1.26677695854691,0.255563826625913,-0.079850843290575,-0.514244348432324,0.23844349870138
"40","Central Java 1049 1222","Central Java",1049,1222,275000,60000,170408.662280702,6576506.57777778,0.219690345300313,-0.461758520561888,-0.359343677406026,0.674813854676469,-0.906462559733575
"41","Central Java 1291 1518","Central Java",1291,1518,5e+06,5e+05,150000,6576506.57777778,-0.127126716972376,0.159669381013089,-0.771857060905461,1.24418207593069,-1.1244370326746
"42","Central Java 1568 1703","Central Java",1568,1703,3250000,1e+05,170408.662280702,6576506.57777778,-0.666161305049859,-0.225830049168846,-0.598825950736457,1.64730220910378,-0.367771160423165
"43","Central Java 500 731","Central Java",500,731,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-1.43507021774726,-0.671276113533594,0.880018395982647,1.17193735283117,-0.465123666871476
"44","Central Java 732 1019","Central Java",732,1019,3e+05,125000,1000,6576506.57777778,-1.05968223604874,-1.59756026826904,-0.107375239651449,1.43299591283569,-0.727751867050688
"45","Crete -1000 -711","Crete",-1000,-711,14965144.9772727,1720265.20347003,6000,6576506.57777778,-2.30110563293481,2.40078143691447,-0.2376064381017,1.60764907245478,-1.48694346486279
"46","Crete -1200 -1001","Crete",-1200,-1001,14965144.9772727,1720265.20347003,1000,6576506.57777778,-3.27397620322393,2.56407810415903,-0.770950337362108,1.19561371683104,-0.252504927910565
"47","Crete -1300 -1201","Crete",-1300,-1201,14965144.9772727,1720265.20347003,1000,6576506.57777778,-2.07489446980656,2.26832125751093,-0.948479693867027,0.985727897524023,-0.40039202171651
"48","Crete -1450 -1301","Crete",-1450,-1301,65000,5000,10000,6576506.57777778,-1.79392653271397,2.31522140593695,-0.922949238154674,1.22141983991982,-0.436564487552387
"49","Crete -1700 -1451","Crete",-1700,-1451,14965144.9772727,1720265.20347003,27500,6576506.57777778,-1.85834220230131,2.36015709867795,-0.784448533744836,0.892869117622323,-0.490346155262778
"50","Crete -1900 -1701","Crete",-1900,-1701,14965144.9772727,1720265.20347003,17100,6576506.57777778,-3.05693788797711,2.09849542123606,-1.0790141420743,0.55976872720221,-0.561126000452124
"51","Crete -3000 -1901","Crete",-3000,-1901,14965144.9772727,1720265.20347003,6850,6576506.57777778,-5.05621501196837,1.59468163073533,-0.127432647581507,1.45292295444685,0.764393092254071
"52","Crete -31 283","Crete",-31,283,6e+07,4500000,1050000,1.7e+07,6.77945134490131,1.63831454165043,1.54967679713377,0.38581211556068,0.960911440127831
"53","Crete -323 -69","Crete",-323,-69,17500,225,24000,6576506.57777778,-0.31369420871234,2.38437383670158,-2.32953395666902,0.908879974107591,-2.13094085149915
"54","Crete -500 -322","Crete",-500,-322,17500,225,4000,6576506.57777778,-0.60278003547692,2.6123753853183,-2.22136353360954,0.569055949578078,-2.08705633989466
"55","Crete -7000 -3001","Crete",-7000,-3001,14965144.9772727,1720265.20347003,267.5,6576506.57777778,-6.20082307534353,2.0811961153105,0.350834206627572,0.819572499820786,1.37567951844601
"56","Crete -710 -501","Crete",-710,-501,14965144.9772727,167,4000,6576506.57777778,-1.12330577494155,3.24465763728147,-1.13547477883396,0.367037031620235,-2.30106899666049
"57","Crete 1073 1203","Crete",1073,1203,5500000,575000,250000,22500000,7.08680365774442,2.44709407200084,-0.587276419279923,-1.28857278485685,-0.289833032180957
"58","Crete 284 394","Crete",284,394,5.5e+07,4250000,8e+05,1.7e+07,6.21556450052343,0.0372239108206078,-2.21138115187371,-0.648767420428063,1.75153445582742
