"pol"	"place"	"time1"	"time2"	"Polity.Population"	"Polity.territory"	"Population.of.the.largest.settlement"	"scale.of.supracultural.interaction"	"Administrative.levels"	"Military.levels"	"Religious.levels"	"Settlement.hierarchy"	"Languages"	"Degree.of.centralization"	"Suprapolity.relations"	"Articles"	"Atlatl"	"Battle.axes"	"Breastplates"	"Bridges"	"Bronze"	"Calendar"	"Camels"	"Canals"	"Complex.fortifications"	"Composite.bow"	"Constraint.on.executive.by.government"	"Constraint.on.executive.by.nongovernment"	"Copper"	"Couriers"	"Courts"	"Crossbow"	"Daggers"	"Ditch"	"Dogs"	"Donkeys"	"drinking.water.supply.systems"	"Earth.ramparts"	"Elephants"	"elite.status.is.hereditary"	"Examination.system"	"Fiction"	"food.storage.sites"	"Foreign.coins"	"Formal.legal.code"	"Fortified.camps"	"Fulltime.bureaucrats"	"General.postal.service"	"Gunpowder.siege.artillery"	"Handheld.firearms"	"Helmets"	"History"	"Horses"	"Chainmail"	"Ideological.reinforcement.of.equality"	"Ideological.thought.equates.elites.and.commoners"	"Ideological.thought.equates.rulers.and.commoners"	"Ideology.reinforces.prosociality"	"Impeachment"	"Indigenous.coins"	"Iron"	"irrigation.systems"	"Javelins"	"Judges"	"Laminar.armor"	"Leather.cloth"	"Limb.protection"	"Lists.tables.and.classifications"	"Long.walls"	"markets"	"Merchant.ships.pressed.into.service"	"Merit.promotion"	"Mines.or.quarries"	"Mnemonic.devices"	"Moat"	"Modern.fortifications"	"Moral.concern.is.primary"	"Moralizing.enforcement.in.afterlife"	"Moralizing.enforcement.in.this.life"	"Moralizing.enforcement.is.agentic"	"Moralizing.enforcement.is.certain"	"Moralizing.enforcement.is.targeted"	"Moralizing.enforcement.of.rulers"	"Moralizing.norms.are.broad"	"Moralizing.religion.adopted.by.commoners"	"Moralizing.religion.adopted.by.elites"	"Nonphonetic.writing"	"Nonwritten.records"	"Paper.currency"	"Philosophy"	"Phonetic.alphabetic.writing"	"Plate.armor"	"Polearms"	"Ports"	"Postal.stations"	"Practical.literature"	"Precious.metals"	"production.of.public.goods"	"Professional.Lawyers"	"Professional.military.officers"	"Professional.priesthood"	"Professional.soldiers"	"Religious.literature"	"Roads"	"Rulers.are.gods"	"Rulers.are.legitimated.by.gods"	"Sacred.Texts"	"Scaled.armor"	"Scientific.literature"	"Script"	"Self.bow"	"Settlements.in.a.defensive.position"	"Shields"	"Slings"	"Small.vessels.canoes.etc"	"Spears"	"Specialized.government.buildings"	"Specialized.military.vessels"	"Steel"	"Stone.walls.mortared"	"Stone.walls.nonmortared"	"Swords"	"Tension.siege.engines"	"Tokens"	"War.clubs"	"Wood.bark.etc"	"Wooden.palisades"	"Written.records"
"Basin of Mexico 900 1199"	"Basin of Mexico"	900	1199	175000	22500	45000	6576506.57777778	4	2	2.98680351906158	4	1	3.14438502673797	1.13576158940397	0.972049689440994	1	0	1	0.808118081180812	0	1	0	0.675373134328358	0.511182108626198	0	0.46031746031746	0.513274336283186	0	0.775438596491228	0	0.375706214689266	1	0.756183745583039	0	0	0.673151750972763	0.819571865443425	0	0.9375	0.177606177606178	0	1	0.530864197530864	0.692771084337349	1	1	0.222222222222222	0.136020151133501	0.164179104477612	1	0	0	0	0.582236842105263	0.507299270072993	0.346801346801347	0.962616822429907	0.103448275862069	0.536388140161725	0	0.804407713498623	0	0.589171974522293	0	1	1	0	0	1	0.311004784688995	0.346774193548387	0.900709219858156	1	0.696428571428571	0	1	1	1	1	1	1	1	1	1	1	0.21969696969697	1	0.075	0	0	0	0	0.711038961038961	0.548262548262548	0	0.80078125	0.945054945054945	0	1	1	1	0	0.80952380952381	0.339483394833948	0.892857142857143	0.658045977011494	0	0.632047477744807	1	0	0.876876876876877	1	1	0.774744027303754	0	1	0.516819571865443	0	0.596774193548387	0.5	1	0.448680351906158	0.62	1	0.78030303030303	0.785992217898833	0
"Big Island Hawaii 1000 1199"	"Big Island Hawaii"	1000	1199	14965144.9772727	2350	170408.662280702	6576506.57777778	4.56515957446809	5.03362573099415	2.98680351906158	1	1	0	1.13576158940397	0.972049689440994	0.0755208333333333	0.792613636363636	0.688311688311688	0.808118081180812	0	0	0	0.675373134328358	0	0.619302949061662	0.46031746031746	1	0	0.775438596491228	0	0	0.887096774193548	0.756183745583039	0	0	0	0.819571865443425	0	1	0	0	0.818481848184819	0	0	0	0	0.222222222222222	0	0	0.785340314136126	0	0	0	0	0.507299270072993	0	0.962616822429907	0.103448275862069	0	0	0	0.743827160493827	0	0	0.888888888888889	0.694704049844237	0	0	0.817034700315457	0	0	0.900709219858156	0.793893129770992	0.696428571428571	0	0	0	0	0	0	0	0	0	1	0	0.21969696969697	0.94758064516129	0	0	0	0	0.543478260869565	0.711038961038961	0.548262548262548	0	0	0.945054945054945	0	0	0	0	0	0.80952380952381	0.339483394833948	0.892857142857143	0	0	0	0	0.791907514450867	0.876876876876877	0.876436781609195	0.665584415584416	1	0.91820580474934	0	0	0	0	0	0.792592592592593	0	0.62	0.757763975155279	0.78030303030303	0.785992217898833	0
"Big Island Hawaii 1200 1649"	"Big Island Hawaii"	1200	1649	26750	2250	170408.662280702	6576506.57777778	4.56515957446809	5.03362573099415	2.98680351906158	1.5	1	0	1.13576158940397	0.972049689440994	0.0755208333333333	0.792613636363636	0.688311688311688	0	0	0	0	0	0	0.619302949061662	0.46031746031746	0.513274336283186	0	0	0	0	0.887096774193548	0.756183745583039	0	0	0.673151750972763	0.819571865443425	0	1	0	0	0.818481848184819	0	0	0	0	0	0	0	0.785340314136126	0	0	0	0.582236842105263	0.507299270072993	0.346801346801347	0.962616822429907	0	0	0	1	0.743827160493827	0	0	0.888888888888889	0.694704049844237	0	0	0.817034700315457	0	0	0.900709219858156	0.793893129770992	0.696428571428571	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0.543478260869565	0	0	0	0	0.945054945054945	0	0	1	0	0	0	0.339483394833948	0.892857142857143	0	0	0	0	0.791907514450867	0.876876876876877	0.876436781609195	0.665584415584416	1	0.91820580474934	0	0	0	0	0	0.792592592592593	0	0.62	0.757763975155279	0.78030303030303	0.785992217898833	0
"Big Island Hawaii 1650 1777"	"Big Island Hawaii"	1650	1777	118750	9500	170408.662280702	6576506.57777778	4	3.5	2	2	1	5	1.13576158940397	0.972049689440994	0	0	0	0.808118081180812	0	0	0	0.675373134328358	0	0	0	0	0	0	0	0	1	1	0	0	0.673151750972763	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.582236842105263	0.507299270072993	0.346801346801347	0.962616822429907	0	0	0	1	1	0	0	0	0	0	0	0.817034700315457	0	0	0.900709219858156	0.793893129770992	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0.945054945054945	0	0	1	1	0	1	0.339483394833948	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0.62	1	0	1	0
"Big Island Hawaii 1778 1819"	"Big Island Hawaii"	1778	1819	120000	15800	170408.662280702	6576506.57777778	5	3.5	2	2	1	5	2	1	0	0.792613636363636	0	0.808118081180812	0	0	0	0.675373134328358	0	0	0	0	0	0.775438596491228	0	0	0.887096774193548	1	0	0	0.673151750972763	0.819571865443425	0	1	0	0	1	0	0	0	1	0.222222222222222	1	1	0	0	0	0	0	0	0	0.962616822429907	0	0	0	1	1	0	0	0	0	0	0	0.817034700315457	0	1	0.900709219858156	0.793893129770992	0.696428571428571	0	0	0	0	0	0	0	0	0	1	0	0	0.94758064516129	0	0	0	0	0.543478260869565	0.711038961038961	0.548262548262548	0	0	0.945054945054945	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	1	1	0.91820580474934	0	1	0	0.596774193548387	0.5	0.792592592592593	0	1	0.757763975155279	0	1	0
"Cahokia -150 299"	"Cahokia"	-150	299	14965144.9772727	1720265.20347003	40	6576506.57777778	1.5	5.03362573099415	2.98680351906158	1	1	0	1	1	1	0	0.688311688311688	0	0	0	0	0	0.511182108626198	0	0	0	0.78021978021978	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.785340314136126	0	0	0	1	1	1	0.962616822429907	0	0	0	0	0	0	0	0	0.694704049844237	0	0	0	0	0	1	0.793893129770992	0	0	0	0	0	0	0	0	0	0	0	0	0.21969696969697	0.94758064516129	0	0	0	0	0	0	0	0	0.80078125	0.945054945054945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.876436781609195	0	0	0	0	0	0	0	0	0	0	0.62	0	0	0	0
"Cahokia -600 -151"	"Cahokia"	-600	-151	14965144.9772727	1720265.20347003	40	6576506.57777778	1	5.03362573099415	2.98680351906158	1	1	0	0	1	1	0	0	0	0	0	0	0	0.511182108626198	0	0	0	0.78021978021978	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0.962616822429907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.793893129770992	0	0	0	0	0	0	0	0	0	0	0	0	0.21969696969697	0.94758064516129	0	0	0	0	0	0	0	0	0.80078125	0.945054945054945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62	0	0	0	0
"Cahokia 1050 1199"	"Cahokia"	1050	1199	45000	2500	12500	6576506.57777778	3.5	2	3	4.5	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0.78021978021978	0.775438596491228	0.533557046979866	0	0	0	0.195876288659794	0	0	0	0	1	0	0	1	0	0.692771084337349	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.589171974522293	0	0	0	0	0	0	0	0.346774193548387	1	0.793893129770992	0	0	0	0	0	0	0	0	0	0	0	0	0.21969696969697	0.94758064516129	0	0	0	0	0	0	0	0	0	0.945054945054945	0	0.687878787878788	1	0.725075528700906	0	1	0.339483394833948	0.892857142857143	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0.62	1	0	1	0
"Cahokia 1200 1274"	"Cahokia"	1200	1274	45000	2500	12500	137500	3.5	2	3	4.5	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0.78021978021978	0.775438596491228	0.533557046979866	0	0	0	0.195876288659794	0	0	0	0	1	0	0	1	0	0.692771084337349	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.589171974522293	0	0	0	0	0	0	0	0.346774193548387	1	0.793893129770992	0	0	0	0	0	0	0	0	0	0	0	0	0.21969696969697	0.94758064516129	0	0	0	0	0	0	0	0	0	0.945054945054945	0	0.687878787878788	1	0.725075528700906	0	1	0.339483394833948	0.892857142857143	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0.62	1	0	1	0
"Cahokia 1275 1399"	"Cahokia"	1275	1399	13500	750	6000	6576506.57777778	3	2	3	3	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0.46031746031746	0.513274336283186	0.78021978021978	0.775438596491228	0.533557046979866	0	0	0	0.195876288659794	0	0	0	0	0.9375	0.177606177606178	0	1	0	0.692771084337349	0	0	0	0	0	0	0	0	0	0.582236842105263	0.507299270072993	0.346801346801347	0.962616822429907	0.103448275862069	0	0	0	0	0.589171974522293	0	0	0	0	0	0	0	0.346774193548387	1	0.793893129770992	0	0	0	0	0	0	0	0	0	0	0	0	0.21969696969697	0.94758064516129	0	0	0	0	0	0	0	0	0	0.945054945054945	0	0.687878787878788	1	0.725075528700906	0	1	0.339483394833948	0.892857142857143	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0.62	1	0	1	0
