"pol"	"place"	"time1"	"time2"	"Polity.Population"	"Polity.territory"	"Population.of.the.largest.settlement"	"scale.of.supracultural.interaction"	"ML11"	"ML6"	"ML1"	"ML4"	"ML2"	"ML3"	"ML7"	"ML5"	"ML9"	"ML12"	"ML8"	"ML10"
"Finger Lakes 1566 1713"	"Finger Lakes"	1566	1713	5500	1e+05	600	6576506.57777778	-0.517411762490152	-2.64820737581464	-0.990805243666204	0.501417748753727	-1.66224460770969	-1.18673504909895	0.913375901621762	1.58641373987958	-1.43995520466919	-0.938773511509995	-0.636734631877936	-1.0974886390997
"Finger Lakes 1714 1848"	"Finger Lakes"	1714	1848	12000	1e+05	600	6576506.57777778	-0.898822096403791	-2.94355143342346	-0.274076201714048	-1.67252337326662	-1.52598932123776	-1.2178081880617	2.34849858565951	1.32394813796081	1.2791020711546	0.431313211840959	-1.17797690503081	-1.36736996396951
"Galilee -103 -62"	"Galilee"	-103	-62	14965144.9772727	7500	55000	1e+05	0.896622643596179	0.199833987613995	0.442972786641276	0.663160705176073	-0.339292396835921	-0.0386934538256942	-0.531446684164372	-0.426959884479722	0.625602691740777	0.0514904905970506	-0.496233948500133	0.682762895689581
"Galilee -1030 -722"	"Galilee"	-1030	-722	220000	11500	17500	15000	0.382835159650929	-0.113161418007002	0.222526917945071	0.47703390822341	-0.154666844125471	-0.211163807165197	-0.632014867495922	-0.719737996223526	1.05720634377205	0.264777029462142	0.249715657214891	0.544661408293688
"Galilee -1180 -1031"	"Galilee"	-1180	-1031	35000	9000	50000	24000	0.28090913949255	0.0700109380075038	-0.121087192070846	0.315795639243342	-0.34286704824433	-0.133743416314863	-0.547275382170328	-1.81102715298324	1.64009442511619	0.834983848644002	0.110188710947461	0.924523857647281
"Galilee -200 -104"	"Galilee"	-200	-104	1.6e+07	1387500	75000	4750000	1.04788107402919	0.867090861082808	0.402319269933105	0.680570403017877	0.252444213492824	0.157663478696924	-0.439936845518257	1.38487137174257	0.192484588169432	-0.019593694247283	-0.290366053205954	0.629073237079684
"Galilee -2000 -1181"	"Galilee"	-2000	-1181	32500	1700	35000	3e+05	-0.230397860817239	-0.0726979044009015	-2.21674395114741	0.512201884218534	-0.46821692534091	0.000530368519497273	-0.86560026268083	-1.86019186315306	3.43601482065524	0.985335993324083	0.853609212597802	1.15678171438189
"Galilee -300 -199"	"Galilee"	-300	-199	7e+06	1e+06	1e+05	3750000	0.888941142458214	1.27067256655107	0.372954970198418	0.0803364736819801	-0.141463646076263	0.893512497533472	-0.0123039281602327	-1.10656672276465	0.606540232779088	-0.42470292721798	1.25262483617296	1.02357270971868
"Galilee -538 -331"	"Galilee"	-538	-331	2.6e+07	4e+06	2e+05	2750000	1.10956869174297	1.28434914452763	0.422149676452409	0.285413383537413	-0.323368324786156	0.832581144945111	0.0958176917902568	-1.06733836031187	0.471140233075478	0.139815748963582	0.445144645659283	1.34867932906872
"Galilee -721 -539"	"Galilee"	-721	-539	6e+06	1400000	10000	6576506.57777778	-0.0497591364237207	0.385904007850945	0.489270711786218	1.09962518909203	0.873974050465328	-1.91944912874214	-0.821482844100686	-0.625585633211811	-0.334762220673234	-0.217575695385835	1.51251947483602	0.431543103556089
"Garo Hills 1775 1867"	"Garo Hills"	1775	1867	2500	1720265.20347003	2500	4771577	-1.21417210771181	-3.04983706907682	-0.993071677079393	-1.1897192059437	-1.78463656119832	-1.03331070439177	-0.377618051617569	1.47762952044339	-0.910880451677922	-0.46928393810655	-0.649074629655828	-0.963257090650457
"Garo Hills 1868 1956"	"Garo Hills"	1868	1956	138000	8000	8000	4771577	-1.28366316422966	-3.04601058144953	0.27330176040888	-1.56133991688004	-1.75173344003023	-0.920517635587493	1.55837479107316	1.85002811789064	1.37977418368358	-0.667522195733383	-0.87648707746144	-1.21884587045369
"Ghanaian Coast 1501 1701"	"Ghanaian Coast"	1501	1701	14965144.9772727	1720265.20347003	170408.662280702	5112903	-0.871932644887766	-1.68321490693481	-1.22161666923364	0.00963276660699607	1.28938887982144	-0.832096212821291	0.46717513570436	-0.799672992540905	-1.20807895560253	-2.98447088946569	-0.903352795482711	-0.0286862035265766
"Ghanaian Coast 1702 1895"	"Ghanaian Coast"	1702	1895	3e+06	259000	13500	5112903	-1.26273222036367	-1.13089711628362	-0.780489159061892	-0.865147332628692	0.877460663380405	-0.556110264006247	0.630850800161178	-0.808237459575703	2.5273608616895	-2.92527880936077	-0.228021126162932	0.372259957337344
"Chuuk Islands 1775 1885"	"Chuuk Islands"	1775	1885	14965144.9772727	1720265.20347003	150	6576506.57777778	-1.7266241630668	-2.61157877801693	-1.09942534567579	0.104635307402155	-0.00485180167984914	1.72072333457558	-0.711607030344843	-0.319211049774078	-1.18691814275747	-0.63820791993839	-1.08377321132236	1.19957533868735
"Chuuk Islands 1886 1948"	"Chuuk Islands"	1886	1948	9200	127	170408.662280702	7400000	-1.75277658002461	-1.89132548244984	-0.665946129840462	0.0250059352081134	0.726894973257083	1.62456282481673	1.03500311602015	-0.918412571416374	2.63723402536433	0.310402598663269	0.199000552735147	0.845126147904771
"Iceland 1262 1380"	"Iceland"	1262	1380	70000	103000	250	5600000	0.470866464157025	-2.13898290324671	1.30589920131386	-0.440906193344319	0.844450841003445	0.661358784308225	-0.49975231260336	-1.02062456205125	0.174027181601646	1.22616745145817	-0.160260244540024	0.713229912373296
"Iceland 930 1261"	"Iceland"	930	1261	32500	103000	250	3400000	0.300504369689783	-2.45506627272096	1.41786501483733	-0.33631948245595	0.884004600746513	0.70981270438371	-0.556143460814358	-1.02042768523805	-0.0376968107455423	0.912830606411403	-0.304400046429221	0.836509692569787
"Kachi Plain -1300 -551"	"Kachi Plain"	-1300	-551	1125	1720265.20347003	170408.662280702	6576506.57777778	-0.361396477225668	0.170087163893931	-1.63478493192612	-0.0411755478625315	0.995024444290056	-1.84598608728294	-0.738382133332491	-0.303396330796143	-0.965711964024032	0.285525448093175	-0.600032682452968	-0.323170403468619
"Kachi Plain -145 -96"	"Kachi Plain"	-145	-96	60000	105226	170408.662280702	6576506.57777778	0.972620475351722	0.569629339235054	-0.103908007120312	0.460828233369999	0.581745531377903	0.575929857580169	-0.364216501315572	-1.00044489528932	0.833041805828873	0.502901596076173	-0.179285839230007	-1.77268658926668
"Kachi Plain -1800 -1301"	"Kachi Plain"	-1800	-1301	14965144.9772727	1720265.20347003	1125	6576506.57777778	-1.61494717820441	-1.4326489382377	-1.11305795782034	-2.79073427403496	0.333358245501332	0.3183420520315	-0.299519324638384	0.227637548625535	-1.08552542283503	-0.892161276344024	-0.724839636825846	-0.392382996277801
"Kachi Plain -2100 -1801"	"Kachi Plain"	-2100	-1801	14965144.9772727	135000	1e+05	1250000	-1.55889244718635	0.211207211909767	0.481047490511973	-1.00557460722006	0.379082151944984	0.128229938329048	-0.0494693672894749	1.89141029790089	-0.435864673674704	-0.388910325469001	0.251529971567555	-0.779995723722924
"Kachi Plain -2500 -2101"	"Kachi Plain"	-2500	-2101	14965144.9772727	135000	1e+05	1250000	-1.41391290935251	0.156979442093249	0.438509757362156	-0.925388425479017	0.381996078758605	0.0569155375301197	-0.0846695043888335	1.83262203748959	-0.333997599792522	-0.288704748991955	0.380589933118059	-0.788474253974085
"Kachi Plain -303 -194"	"Kachi Plain"	-303	-194	1.8e+07	4e+06	50000	1700000	0.806955353603522	0.889105212005874	0.642962197195517	0.678394191246877	0.722561236641302	0.624480865817443	-0.312691806614787	0.118627657426602	0.00317209038258584	0.219785960111999	-0.470830946392423	-2.08766402625966
"Kachi Plain -3200 -2501"	"Kachi Plain"	-3200	-2501	14965144.9772727	1720265.20347003	2850	6576506.57777778	-1.87981195684032	-0.621754580865642	-1.27389507345809	-2.53623095678063	0.251176585806853	0.541450383448062	-0.431648585348361	0.577629106326344	-1.14843058961267	-1.61131131681672	-1.23556506761097	-0.517338839593795
"Kachi Plain -4000 -3201"	"Kachi Plain"	-4000	-3201	14965144.9772727	1720265.20347003	2450	6576506.57777778	-1.88045509124885	-0.629403869259715	-1.27085004776429	-2.55105053683592	0.252214185565377	0.547036754851851	-0.423724917524699	0.574136129548034	-1.16277281102001	-1.62390535279151	-1.22555073372059	-0.516540736658733
"Kachi Plain -550 -329"	"Kachi Plain"	-550	-329	2.6e+07	4e+06	2e+05	2750000	1.10956869174297	1.28434914452763	0.422149676452409	0.285413383537413	-0.323368324786156	0.832581144945111	0.0958176917902568	-1.06733836031187	0.471140233075478	0.139815748963582	0.445144645659283	1.34867932906872
"Kachi Plain -5500 -4001"	"Kachi Plain"	-5500	-4001	14965144.9772727	1720265.20347003	500	6576506.57777778	-1.90065963236824	-0.683730732253798	-1.21721216824489	-2.53018045453351	0.29077165941477	0.545428634270034	-0.422171171051208	0.641434317294957	-1.29303067235593	-1.59570452260872	-1.25432184936002	-0.538062552168166
"Kachi Plain -7500 -5501"	"Kachi Plain"	-7500	-5501	14965144.9772727	1720265.20347003	500	6576506.57777778	-1.83248641807218	-0.946380098357744	-1.23049666081763	-3.15353809991309	0.276554485905087	0.482352336012032	-0.412932774608448	0.589911229877859	-1.05914406263031	-1.43027837718169	-1.05736977390297	-0.447438755575884
"Kachi Plain -95 21"	"Kachi Plain"	-95	21	75000	280000	450000	3750000	0.844533879902487	0.67360985573898	0.800521488247915	0.661358201585518	0.291024193310188	0.705978244681228	-0.526809158204342	-0.846438962224543	-0.123262366785808	0.813544009357809	-0.559813964330746	0.865130173920592
"Kachi Plain 1193 1206"	"Kachi Plain"	1193	1206	14965144.9772727	880000	170408.662280702	6576506.57777778	0.987411073265281	0.379922256519659	0.931522854890863	0.427475331541886	0.422901253299153	0.777690168937858	-0.276002207960614	1.50737614044292	-0.242838970424936	-0.0773371907616211	-0.616708757306763	0.309652311522886
"Kachi Plain 1207 1339"	"Kachi Plain"	1207	1339	14965144.9772727	3e+06	3e+05	6576506.57777778	1.16045515614675	0.831628583120259	0.806109003632156	0.275436007549951	0.275324205952123	0.787294213569292	2.29904540466764	1.62275361871083	-0.387328729031284	0.0596700143322313	-0.104520080222251	0.258131323174125
"Kachi Plain 1340 1519"	"Kachi Plain"	1340	1519	1e+06	140914	170408.662280702	6576506.57777778	0.766717107073228	0.0358655642113473	0.83731467426655	0.518980665238883	0.549740517382669	0.840184585132915	1.71255392466657	1.47269969897615	-0.40802597225639	0.615222494047696	-0.903559531116399	0.406122965122189
"Kachi Plain 1526 1740"	"Kachi Plain"	1526	1740	1.3e+08	3850000	4e+05	6576506.57777778	1.23916964647098	1.13904111085359	0.44436187889443	0.334987515917799	0.0445354948602331	0.865077227425892	2.38001814867912	1.4037978935274	0.0281065055171378	0.419874051170239	0.173476248899459	0.644650612109799
"Kachi Plain 1748 1826"	"Kachi Plain"	1748	1826	14965144.9772727	489500	170408.662280702	6576506.57777778	0.737430081518389	-0.935843165556026	1.11780827698605	0.692292747583885	0.546613669565184	0.920289961120728	2.25549225786074	1.05706119937437	-0.40424959357383	0.314720885011154	-0.564894065968381	0.752513704634612
"Kachi Plain 251 495"	"Kachi Plain"	251	495	5e+06	2900000	1e+05	3250000	0.965184990383008	0.584955380203271	0.895545735133613	0.432588321552261	0.486629740385932	0.768351284888998	-0.495211360902003	1.76515391892977	-0.881679052451801	0.250201794897049	-0.356075134874959	0.214492822334139
"Kachi Plain 30 250"	"Kachi Plain"	30	250	13750000	2250000	1e+05	4e+06	0.80123981700061	0.426102146228825	0.71103512413538	0.585706125819507	0.959025572799977	0.390851453999885	-0.639373496025374	-0.926096696566053	0.0811759877478737	0.890185247415465	-0.556866791982566	-2.22766811530044
"Kachi Plain 496 531"	"Kachi Plain"	496	531	26500000	2e+06	170408.662280702	7750000	0.974788723070299	0.390665891863377	0.973426001074293	0.501437584161897	0.833568187406361	0.49238852505627	-0.485855751026516	-0.107285130481451	-0.313438888386102	0.613019265580138	-0.833607776533297	-2.0340467517255
"Kachi Plain 532 641"	"Kachi Plain"	532	641	8900000	3050000	4e+05	3250000	1.05746746061228	0.609176515454189	0.821186292215369	0.297364129586237	0.222701911099328	0.911729665239964	-0.446208966663929	1.520282441462	-0.0595124674926684	0.446048699247355	-0.576787262828222	0.707697876934961
"Kachi Plain 670 750"	"Kachi Plain"	670	750	2.8e+07	9e+06	3e+05	9e+06	0.783024780603128	0.784497024084217	0.728272873730573	0.768289839796159	0.0673188495582884	1.06543500266264	-0.528676186796941	1.38726491878983	-0.0321694798733611	0.0354058781075777	-0.457406260267999	1.16589738631475
"Kachi Plain 750 861"	"Kachi Plain"	750	861	2.1e+07	1e+06	3e+05	1.1e+07	0.963690624997322	0.784409911637312	0.770892764844487	0.481014977301372	0.0604396406174179	1.06847566374183	-0.365980054805674	1.70805454132571	-0.199366344189203	0.247824705292515	-0.276091815345032	1.03221168501622
"Kachi Plain 862 1192"	"Kachi Plain"	862	1192	1e+06	140914	170408.662280702	6576506.57777778	0.834843184636811	0.150731830800081	0.44695579464722	0.37891198754307	0.435455319484888	0.882703741285338	-0.474479686997531	1.63685285592651	0.295637787191762	0.191854893685955	-0.613766115290268	0.420941375250435
"Kansai -1200 -200"	"Kansai"	-1200	-200	700	1720265.20347003	450	6576506.57777778	-1.68512725111465	-1.06531511370864	-1.28410267465128	-3.00621108268583	0.299959813458347	0.300155208724744	-0.206974691535846	-0.875020944196906	-0.819243451132884	-0.863949699855351	-0.936699089462115	-0.332157938611778
"Kansai -13600 -9200"	"Kansai"	-13600	-9200	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-1.97402916844867	-1.6962854195437	-0.983994350773122	-2.8077249374045	0.514548297180401	0.461969756968938	-0.229491423752444	0.27103031232814	-1.2435998390134	-0.411638045444009	-1.0792701118297	-0.411494089900839
"Kansai -2500 -1200"	"Kansai"	-2500	-1200	700	1720265.20347003	450	6576506.57777778	-1.79983706069255	-1.17548599497499	-1.2463887173834	-3.26034421984971	0.261409533438211	0.433951533811072	-0.177147562028034	-0.601480704017182	-0.857332470623378	-1.02379216574353	-0.876196907872975	-0.281803477031691
"Kansai -300 249"	"Kansai"	-300	249	2250	1720265.20347003	1500	78000	-0.889884839920886	-0.775386516204982	-1.73015605684936	0.932819797681549	-2.24250593548003	-1.11247446683668	-0.568495198789537	-0.267311152763058	1.56542488428136	-0.0361904423339049	1.23302614265646	-0.728893771462016
"Kansai -3500 -2500"	"Kansai"	-3500	-2500	14965144.9772727	1720265.20347003	450	6576506.57777778	-1.91081034916341	-1.32519779993701	-1.16521398199465	-3.0811009251079	0.383891943608716	0.403471138937505	-0.223295113745	-0.621861258427555	-0.980922294969163	-0.509447556071751	-0.967943620181901	-0.32328637773817
"Kansai -5300 -3500"	"Kansai"	-5300	-3500	700	1720265.20347003	450	6576506.57777778	-1.91703755684605	-1.32426479076741	-1.17857725419167	-3.28291517883523	0.336242846655187	0.428559162756842	-0.2179310470731	-0.616999629423829	-0.92682487043027	-0.540090825890234	-0.982283229711599	-0.287635307994389
"Kansai -9200 -5300"	"Kansai"	-9200	-5300	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-1.92274251906269	-1.3709782456363	-1.11565276826233	-3.26830516761674	0.360113916086267	0.484380088239779	-0.204425846381412	0.323308211370946	-1.04604147820641	-0.576903228944794	-1.02910931232348	-0.335748607291999
"Kansai 1185 1333"	"Kansai"	1185	1333	5900000	295000	150000	0	0.48725527835055	0.426966450225981	0.285840372828747	0.887426448500627	0.456522760198715	0.753168979587854	-0.406837335127381	-0.48645792802886	0.718088772095803	0.751762686021134	0.754388657265317	0.506733856207554
"Kansai 1336 1466"	"Kansai"	1336	1466	12500000	295000	40000	3900000	0.368158679134688	0.512287197968246	0.591604667088836	0.633115773965031	0.516991572205224	0.749982824398522	-0.254046567266822	-0.145879846735531	0.337861800871879	0.601513647254375	0.37715590476663	0.363055119283471
"Kansai 1467 1567"	"Kansai"	1467	1567	1.5e+07	15000	40000	6576506.57777778	0.619603860766339	-0.0992419274228668	0.192882472197198	0.438594185904004	0.488689860894985	0.748746046433532	1.7808453561643	-0.408218364458818	0.649570072985683	0.640390043144093	0.572832808380901	0.429299776748309
"Kansai 1568 1602"	"Kansai"	1568	1602	1.7e+07	295000	3e+05	6576506.57777778	0.737921742804042	0.605645262662551	0.465867237312465	0.356271161128543	0.252731567786765	0.843968260098911	1.83714867890984	-0.356696002879509	0.473902556154351	0.2818166907724	0.714860305281512	0.580802380152114
"Kansai 1603 1868"	"Kansai"	1603	1868	2.2e+07	295000	570361	6576506.57777778	0.985767765596437	0.969136873629534	0.645849850222087	0.145470746010132	0.10553748710559	0.577705391340488	2.98213786887413	-1.19342948609296	0.193203403630209	1.11920011275661	1.55936771796037	0.773784045534974
"Kansai 250 537"	"Kansai"	250	537	250000	125000	170408.662280702	90000	0.304927383318427	0.265764958416068	-0.0953083055042873	0.725920416469395	-2.58636638814832	-1.62583310130536	-0.814575738462073	-1.45394758472364	0.418055196064415	0.768783256122339	2.10124878336726	-0.325860554315551
"Kansai 538 710"	"Kansai"	538	710	2250000	125000	170408.662280702	5400000	0.654593799393151	0.673748798898044	0.252202696644618	0.327314583990411	0.0356952714389775	0.583138288524302	-0.019401657213212	-0.248527375273147	-0.0464692478574383	0.82081471258833	2.31333828268463	-1.4916922772311
"Kansai 794 1184"	"Kansai"	794	1184	5150000	275000	150000	3243000	0.85378726499837	0.599970784260072	0.837479647217666	0.504687739573293	0.596297086650095	0.560241402569084	-0.153496315064199	-0.335813262780518	-0.0687975976189599	0.853771753132552	0.831456778238058	-1.64666313025477
"Kapuasi Basin 1650 1841"	"Kapuasi Basin"	1650	1841	262.5	1720265.20347003	262.5	4500000	-0.969054246039646	-2.95646067217808	-0.847650926423754	0.438603902893066	1.59669346049307	-1.49164026579315	-0.430955741089719	1.11220200281268	-1.56877496902513	0.390123097030311	-1.14999056964167	0.163659818618758
"Kapuasi Basin 1842 1987"	"Kapuasi Basin"	1842	1987	14965144.9772727	124450	262.5	4500000	-0.456829538926258	-2.60908755093349	-1.03077541780008	0.0967003841479276	1.15881317081333	-1.33448829911276	2.26135652486794	0.94691601892888	2.30348218331188	0.272682629401094	-0.451920457389575	0.360953961601642
"Konya Plain -1180 -901"	"Konya Plain"	-1180	-901	120000	500	15000	6576506.57777778	0.266264135875317	0.258083040321174	-0.279339225704081	-0.247910784673915	0.561334905585575	-2.06947467338705	-0.592346238789771	-1.36235327223483	0.717737831238659	0.721630661228726	0.487453569330426	0.856227098679785
"Konya Plain -129 -95"	"Konya Plain"	-129	-95	350000	130000	170408.662280702	6576506.57777778	0.382477778645499	-0.0454211439923094	0.590170396533724	0.604724623373074	0.659872154132161	-1.092831628993	-0.554150536823325	-0.49955641940804	0.308215860222814	-1.49780788687468	-0.596973116255045	0.419522324499697
"Konya Plain -1344 -1181"	"Konya Plain"	-1344	-1181	1650000	325000	17500	6576506.57777778	0.20374200364667	-0.00680609110450715	0.395593219223424	-0.449754584972419	0.629325122971948	-2.22587676409055	-0.676776715463971	-1.46771216833972	0.970247588093629	1.30615568605799	0.214189045910691	0.986364887501564
"Konya Plain -1500 -1400"	"Konya Plain"	-1500	-1400	350000	62500	14500	6576506.57777778	-0.067083379083493	0.175616624969314	0.212426910985495	-0.354916605127062	0.663620006632861	-2.1720875957186	-0.707291955630032	-1.18778560841857	0.79898868215789	0.922207398302141	0.852655474048776	0.856866695193513
"Konya Plain -1650 -1501"	"Konya Plain"	-1650	-1501	1200000	125000	12500	6576506.57777778	-0.02132342275248	0.245935297739571	0.304479877188115	-0.2043119768717	0.621623288997171	-2.15321557854954	-0.712593513735128	-0.981296741322182	0.44973298836067	-0.189344312349851	2.17519827525912	0.758114029661907
"Konya Plain -2000 -1700"	"Konya Plain"	-2000	-1700	75000	20000	10000	6576506.57777778	-0.43189189540697	0.158465831140696	-0.109563555632805	-0.3995575383145	-0.0725078101100663	-0.122879100687565	-0.582459428506556	-0.535824826051228	1.22866715152333	0.794089527478133	0.61312736525196	0.427087200941153
"Konya Plain -281 -190"	"Konya Plain"	-281	-190	1.6e+07	1387500	75000	4750000	1.04788107402919	0.867090861082808	0.402319269933105	0.680570403017877	0.252444213492824	0.157663478696924	-0.439936845518257	1.38487137174257	0.192484588169432	-0.019593694247283	-0.290366053205954	0.629073237079684
"Konya Plain -300 -282"	"Konya Plain"	-300	-282	2500000	420000	170408.662280702	6576506.57777778	0.665975921604445	0.613720750350012	0.747627328644104	0.769297113177979	0.431823601095083	-1.19198147028999	-0.481355665901529	-1.22462731696318	0.119561940310315	-0.559966334338596	-0.814667067779472	0.77001514541244
"Konya Plain -3000 -2001"	"Konya Plain"	-3000	-2001	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.84967226328132	-0.132247735730824	-1.80962744307128	-0.383661257050159	-0.00684365408601417	0.147711789299083	-0.600655678992119	-0.544319535224395	-0.151383310037423	0.662518003730049	-0.186286495157883	0.297086091447778
"Konya Plain -31 283"	"Konya Plain"	-31	283	6e+07	4500000	1050000	1.7e+07	0.907838438133429	1.02936069183968	0.868249605700526	0.955074668365681	0.272355729662642	0.0265660456297588	-0.503725618201766	0.768149503189283	-0.672566302603556	-6.06926157968196	-0.89091124124471	0.0768164291616099
"Konya Plain -5000 -3001"	"Konya Plain"	-5000	-3001	14965144.9772727	90	3150	6576506.57777778	-1.48445426211283	-1.15664207851113	-1.52356667343693	-1.01043481213204	0.146609389113433	0.460911591991097	-0.78389252024531	-0.206361493256808	-0.353241307043878	0.0338288926652651	-0.273357359806267	0.249205973557546
"Konya Plain -546 -334"	"Konya Plain"	-546	-334	2.6e+07	4e+06	2e+05	2750000	1.10956869174297	1.28434914452763	0.422149676452409	0.285413383537413	-0.323368324786156	0.832581144945111	0.0958176917902568	-1.06733836031187	0.471140233075478	0.139815748963582	0.445144645659283	1.34867932906872
"Konya Plain -6000 -5501"	"Konya Plain"	-6000	-5501	3250	1720265.20347003	3150	6576506.57777778	-1.50049457622296	-1.69207737522349	-1.30986127653618	-0.862424886131989	0.430465324033616	0.298599824924823	-0.999835032258153	-0.388076659487389	-0.72790040224755	0.155597357222204	-0.782271230253587	0.142352161669451
"Konya Plain -6600 -6001"	"Konya Plain"	-6600	-6001	3250	1720265.20347003	5750	6576506.57777778	-1.32294725646202	-1.64430592771296	-1.32375736480462	-1.1562927093673	0.354984850613007	0.23701098335604	-0.809861556330909	-0.301325897519166	-0.573000729963304	0.313452860258468	-0.379750962385642	0.166314176663486
"Konya Plain -670 -547"	"Konya Plain"	-670	-547	14965144.9772727	250000	15000	6576506.57777778	0.367591235218929	0.378849971300505	0.855153188632363	0.306897232334554	0.59190823599705	-1.96519554920778	-0.570073819221675	-0.69127567609049	-0.0468986991112281	0.212979061811355	-0.286019831155065	0.843856992137959
"Konya Plain -7000 -6601"	"Konya Plain"	-7000	-6601	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-1.50511130584697	-1.48233385780773	-1.18711358210156	-1.34341769938814	0.398214349309186	0.247577295878505	-0.409210538796454	0.031660773770734	-0.961432632631343	-0.0201155740487542	-0.336103418381316	-0.136864922001945
"Konya Plain -836 -696"	"Konya Plain"	-836	-696	1250000	1e+05	17500	6576506.57777778	0.101702275002907	0.118692735315878	0.405210034274764	0.3716915369574	0.740466199764376	-1.98326976220345	-0.611211380870129	-0.715325534761655	0.515701608064888	0.512595371351443	-0.301468761844423	0.684466136633724
"Konya Plain -900 -837"	"Konya Plain"	-900	-837	14965144.9772727	5000	170408.662280702	6576506.57777778	0.114744526603232	-0.0306880233759601	-0.0318467214422009	0.315137427760894	0.709458419688984	-2.05998998039877	-0.684820147025751	-1.19992537844691	0.671629775070046	0.50098302449098	0.628604534306153	0.75734231814289
"Konya Plain -9600 -7001"	"Konya Plain"	-9600	-7001	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-1.54029728392856	-0.948306569376122	-1.47039496513014	-1.71907055624511	0.200384291177707	0.35437849871507	-0.711788293910687	-0.0140270240784844	-0.43940253296413	0.11604963591072	-0.293657834111093	0.0273566394762191
"Konya Plain 1093 1243"	"Konya Plain"	1093	1243	1750000	275000	35000	6576506.57777778	0.938324818356678	0.409737712577716	0.827943946586901	0.263645767818063	0.279189827484807	0.852744834827931	-0.331055225105218	1.13549347356374	0.0493671873984017	0.858516887955043	-0.620700850535436	0.801590418115422
"Konya Plain 1263 1326"	"Konya Plain"	1263	1326	5250000	3800000	150000	2.5e+07	1.01743386879788	0.73242374280495	0.866671259578738	0.284985984215893	0.235093147858738	0.823219951603879	0.0340352648626342	1.5077637004522	-0.161921027628063	0.850926915030396	-0.512566937212749	0.702682710165926
"Konya Plain 1393 1402"	"Konya Plain"	1393	1402	8e+05	18000	25000	4750000	1.14185915575614	0.853558703277853	0.794406287590903	0.454107233353812	0.137041708605134	0.803813825063886	0.895922949956561	1.44360926987818	-0.33312355456098	1.02107670651249	0.321879955812099	0.782127073805156
"Konya Plain 1421 1516"	"Konya Plain"	1421	1516	7e+06	522000	230000	4750000	1.30815548485739	1.01558593958197	0.683888308960233	0.375489746905893	-0.0626011468446872	0.850858438156398	2.1661086391587	1.10586427080404	-0.00940725215969973	1.1084106850259	0.378400003623133	1.06916002621774
"Konya Plain 1517 1682"	"Konya Plain"	1517	1682	2.8e+07	4836000	675000	4750000	1.22645069518638	1.11758568419212	0.676002076590363	0.214932705862568	-0.0281246426344699	0.839295150458592	2.29309108524666	1.16911378795084	-0.0197726768989328	0.866157460424656	0.256721285806758	0.934267024721661
"Konya Plain 1683 1838"	"Konya Plain"	1683	1838	2.4e+07	4710000	570000	6576506.57777778	1.08150958935645	1.13926178289544	0.696955582214402	-0.154684806336523	-0.0678432659211303	0.899452317627944	2.91666787172641	1.19303332233377	-0.0169721190696679	0.928942053736479	0.232387633779032	0.940569492856216
"Konya Plain 284 394"	"Konya Plain"	284	394	5.5e+07	4250000	8e+05	1.7e+07	0.937737208153448	0.981714040167169	0.827169288981039	0.482945231663138	0.293101880989652	0.174842968692799	-0.378175284434619	1.97975239530374	-0.307823505750541	-1.55954502037185	-0.707006515674017	0.414062947504276
"Konya Plain 395 607"	"Konya Plain"	395	607	13750000	1600000	2e+05	13500000	1.07680366513416	1.10449226709083	0.533997120661039	0.714876233204338	-0.0635821298049348	0.813720256635818	-0.334814447168263	-0.700252812823981	0.307939301500306	0.718765078024771	0.0893963817816932	1.29077744613865
"Konya Plain 632 866"	"Konya Plain"	632	866	6250000	1235000	215000	17500000	1.29207060805591	0.943428208035083	0.567478194262919	0.605178872356762	-0.0677340161508	0.792450089254251	-0.269017263284405	-0.724454777868006	0.246648565987126	0.725303597942751	0.1049540405262	1.2185259608553
"Konya Plain 867 1072"	"Konya Plain"	867	1072	10750000	520000	1e+05	17500000	1.24096614934165	0.963578953181958	0.562129621902542	0.680250708666757	-0.0857864837923191	0.816947822545814	-0.278852749400406	-1.01135358601943	0.265693604863872	0.61841647345233	-0.0166385507751513	1.30361248825927
"Latium -1000 -717"	"Latium"	-1000	-717	14965144.9772727	1720265.20347003	200	6576506.57777778	-0.235758212638255	-0.96818961814888	-1.58455758876647	0.918523289411093	0.937172428999018	-1.4621445004178	-0.900880626989357	-1.04184163237277	-0.33303891538749	-0.221352149769247	-0.243369454928393	0.647153005253509
"Latium -133 -31"	"Latium"	-133	-31	3e+07	2725000	4e+05	6576506.57777778	0.58098115484102	0.0372518739539816	0.888068111579021	0.811859384745824	-0.281830109952755	0.276364578484221	-0.651091699706807	-0.681327211606165	-0.0624773239120342	-2.95845667533394	-1.27422366110263	0.527810373715563
"Latium -1800 -1001"	"Latium"	-1800	-1001	14965144.9772727	3.5	160	6576506.57777778	-0.86990354508579	-2.21934110479749	-1.07776746615555	0.933954534856672	1.48755369134641	-1.37062329372957	-0.899013175332777	-0.341863692259319	-1.51076285799726	-0.0603775217662692	-0.979451049073414	0.163440066121098
