"pol"	"place"	"time1"	"time2"	"Scale_agg"	"HComplex_agg"	"Gov_agg"	"Law_agg"	"Infrastr_agg"	"Money_agg"	"Info_agg"	"MilTech_agg"	"Norms_agg"	"MoralGods_agg"
"Basin of Mexico -100 99"	"Basin of Mexico"	-100	99	5575136.72691424	3.77469632636556	0.665514150792907	0.147292993630573	0.624182432300514	0.27	0.221507078627822	0.307256336479045	0.668801845292891	0.968713450292398
"Basin of Mexico -1200 -801"	"Basin of Mexico"	-1200	-801	5562636.72691424	2.50840643274854	0.0749114815935093	0	0.401960210078291	0.27	0.176184445069894	0.337703591629249	0.668801845292891	0.705725125879477
"Basin of Mexico -2000 -1201"	"Basin of Mexico"	-2000	-1201	5564470.06024758	3.39639720613096	0.491812852091609	0.147292993630573	0.779759913211307	0.58918054618893	0.162683549216057	0.184265596314833	0.668801845292891	0.705725125879477
"Basin of Mexico -400 -101"	"Basin of Mexico"	-400	-101	5568470.06024758	3.77469632636556	0.665514150792907	0.147292993630573	0.603852954557787	0.27	0.221507078627822	0.294435732567168	0.668801845292891	0.968713450292398
"Basin of Mexico -6000 -2001"	"Basin of Mexico"	-6000	-2001	5618606.28100781	3.39639720613096	0.491812852091609	0.147292993630573	0.433862578436677	0.58918054618893	0.162683549216057	0.205542192059513	0.668801845292891	0.705725125879477
"Basin of Mexico -800 -401"	"Basin of Mexico"	-800	-401	5563136.72691424	2.50840643274854	0.179291342420362	0	0.401960210078291	0.27	0.176184445069894	0.337703591629249	0.668801845292891	0.705725125879477
"Basin of Mexico 100 649"	"Basin of Mexico"	100	649	5599303.39358091	3.89639720613096	0.596192712918461	0.553512707619297	0.800089390954034	0.58918054618893	0.628243751946886	0.261132404300713	0.668801845292891	0.968713450292398
"Basin of Mexico 1200 1426"	"Basin of Mexico"	1200	1426	831755.067823343	3.89639720613096	0.789197195879224	0.32048576471491	0.800089390954034	0.58918054618893	0.397977666863116	0.308669302901442	0.668801845292891	1
"Basin of Mexico 1427 1519"	"Basin of Mexico"	1427	1519	1251023.33333333	5.1217008797654	1	0.5	0.841990550766984	0.58918054618893	0.45680119627488	0.41174507476043	0.668801845292891	1
"Basin of Mexico 650 899"	"Basin of Mexico"	650	899	5570970.06024758	2.9967008797654	0.857142857142857	0.32048576471491	0.800089390954034	0.58918054618893	0.397977666863116	0.475745685752182	0.668801845292891	0.968713450292398
"Basin of Mexico 900 1199"	"Basin of Mexico"	900	1199	80833.3333333333	3.2467008797654	0.789197195879224	0.32048576471491	0.820258074489054	0.58918054618893	0.356218458319369	0.428664702325989	0.668801845292891	1
"Big Island Hawaii 1000 1199"	"Big Island Hawaii"	1000	1199	5045967.87985113	3.39639720613096	0	0	0.615586639381153	0.265341614906832	0.206299653623838	0.366743232918553	0.482994207511569	0.1
"Big Island Hawaii 1200 1649"	"Big Island Hawaii"	1200	1649	66469.5540935673	3.52139720613096	0.142857142857143	0	0.467708613259022	0.265341614906832	0.105523125280647	0.366743232918553	0.668801845292891	0.1
"Big Island Hawaii 1650 1777"	"Big Island Hawaii"	1650	1777	99552.8874269007	2.875	0.285714285714286	0	0.76382076518395	0.265341614906832	0.105523125280647	0.191489361702128	0.668801845292891	0.1
